PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_P_0_1,ConditionNorm_P_0_2,ConditionNorm_P_0_3,ConditionNorm_P_300_1,ConditionNorm_P_300_2,ConditionNorm_P_300_3,median,Log2,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog.adj.P.Val.,TotalPeptidesOverallInGene,P0_Undetected,P300_Undetected,medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3,medians_.ConditionNorm_P_300_1_ConditionNorm_P_300_2_ConditionNorm_P_300_3,Ratio,Ratio_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2,tc
P49918,CDKN1C,CDN1C_HUMAN,"cytoplasm [GO:0005737]; nucleus [GO:0005634]; cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]; protein kinase inhibitor activity [GO:0004860]; protein-containing complex binding [GO:0044877]; cell cycle arrest [GO:0007050]; negative regulation of cyclin-dependent protein kinase activity [GO:1904030]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of kinase activity [GO:0033673]; negative regulation of phosphorylation [GO:0042326]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; regulation of mitotic cell cycle [GO:0007346]",SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.,Cyclin-dependent kinase inhibitor 1C (Cyclin-dependent kinase inhibitor p57) (p57Kip2),GO:0004860; GO:0004861; GO:0005634; GO:0005737; GO:0007050; GO:0007346; GO:0030511; GO:0033673; GO:0042326; GO:0044877; GO:0045892; GO:0045893; GO:0050680; GO:1904030,3.84E-05,0.003720397,6.05E-05,0.23566016,0.202999477,0.195818018,0.202999477,-2.300452087,0.210219464,0.10638282,17.72838679,3.37E-05,0.002997949,0.613432271,32177,2.523175811,3,0,0,6.05E-05,0.202999477,3357.99919,11.71338617,-2.085220212,-2.300452087,-2.352414575,1
Q9Y4P1,ATG4B,ATG4B_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; endopeptidase activity [GO:0004175]; autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; autophagy of nucleus [GO:0044804]; C-terminal protein lipidation [GO:0006501]; macroautophagy [GO:0016236]; positive regulation of protein catabolic process [GO:0045732]; protein delipidation [GO:0051697]; protein targeting to membrane [GO:0006612]; proteolysis [GO:0006508],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,Cysteine protease ATG4B (EC 3.4.22.-) (AUT-like 1 cysteine endopeptidase) (Autophagin-1) (Autophagy-related cysteine endopeptidase 1) (Autophagy-related protein 4 homolog B) (hAPG4B),GO:0000045; GO:0000422; GO:0004175; GO:0004197; GO:0005737; GO:0005829; GO:0006501; GO:0006508; GO:0006612; GO:0006914; GO:0008234; GO:0016236; GO:0044804; GO:0045732; GO:0051697,1.00E-07,1.00E-07,1.00E-07,0.006209754,0.00561793,0.004867365,0.00561793,-7.475745744,0.005564916,0.002782558,14.73675211,7.41E-05,0.004731511,-0.353312427,44294,2.325000159,14,3,0,1.00E-07,0.00561793,56179.2958,15.77775092,-7.331248253,-7.475745744,-7.682643439,1
Q8NFT8,DNER,DNER_HUMAN,dendrite [GO:0030425]; early endosome [GO:0005769]; integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; clathrin binding [GO:0030276]; Notch binding [GO:0005112]; transmembrane signaling receptor activity [GO:0004888]; central nervous system development [GO:0007417]; endocytosis [GO:0006897]; glial cell differentiation [GO:0010001]; neuron migration [GO:0001764]; Notch receptor processing [GO:0007220]; Notch signaling pathway [GO:0007219]; skeletal muscle fiber development [GO:0048741]; synapse assembly [GO:0007416],SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Note=Present on the membrane of dendrites and cell bodies but excluded from axonal membrane. Also found in early endosomes in the somatodendritic region (By similarity). {ECO:0000250}.,Delta and Notch-like epidermal growth factor-related receptor,GO:0001764; GO:0004888; GO:0005112; GO:0005509; GO:0005769; GO:0005886; GO:0006897; GO:0007219; GO:0007220; GO:0007416; GO:0007417; GO:0010001; GO:0016021; GO:0030276; GO:0030425; GO:0043025; GO:0048741,0.002997794,0.010310637,0.005962134,0.308840716,0.28263796,0.236385186,0.28263796,-1.822972856,0.269531099,0.141189071,13.15641155,0.000119808,0.006212283,-0.943382839,78475,2.206748771,8,0,0,0.005962134,0.28263796,47.40550617,5.566982733,-1.69506513,-1.822972856,-2.080788471,1
O00571,DDX3X,DDX3X_HUMAN,"cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; mitochondrial outer membrane [GO:0005741]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleus [GO:0005634]; secretory granule lumen [GO:0034774]; ATP binding [GO:0005524]; ATP-dependent DNA helicase activity [GO:0004003]; ATP-dependent RNA helicase activity [GO:0004004]; ATPase activity [GO:0016887]; cadherin binding [GO:0045296]; CTPase activity [GO:0043273]; DNA binding [GO:0003677]; eukaryotic initiation factor 4E binding [GO:0008190]; GTPase activity [GO:0003924]; mRNA 5'-UTR binding [GO:0048027]; nucleoside-triphosphatase activity [GO:0017111]; poly(A) binding [GO:0008143]; protein serine/threonine kinase activator activity [GO:0043539]; ribosomal small subunit binding [GO:0043024]; RNA binding [GO:0003723]; RNA stem-loop binding [GO:0035613]; RNA strand annealing activity [GO:0033592]; transcription factor binding [GO:0008134]; translation initiation factor binding [GO:0031369]; cellular response to arsenic-containing substance [GO:0071243]; cellular response to osmotic stress [GO:0071470]; chromosome segregation [GO:0007059]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway [GO:0097193]; mature ribosome assembly [GO:0042256]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of protein complex assembly [GO:0031333]; negative regulation of translation [GO:0017148]; neutrophil degranulation [GO:0043312]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell growth [GO:0030307]; positive regulation of chemokine (C-C motif) ligand 5 production [GO:0071651]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; positive regulation of translational initiation [GO:0045948]; positive regulation of viral genome replication [GO:0045070]; protein localization to cytoplasmic stress granule [GO:1903608]; response to virus [GO:0009615]; RNA secondary structure unwinding [GO:0010501]; stress granule assembly [GO:0034063]; transcription, DNA-templated [GO:0006351]; translational initiation [GO:0006413]; viral process [GO:0016032]; Wnt signaling pathway [GO:0016055]","SUBCELLULAR LOCATION: Nucleus speckle. Cytoplasm. Mitochondrion outer membrane. Note=Located predominantly in nuclear speckles and, at low levels, throughout the cytoplasm. Located to the outer side of nuclear pore complexes (NPC). Shuttles between the nucleus and the cytoplasm in a XPO1 and may be also in a NFX1-dependent manner. Associated with polyadenylated mRNAs in the cytoplasm and the nucleus. Predominantly located in nucleus during G(0) phase and in the cytoplasm during G1/S phase.","ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)",GO:0003677; GO:0003723; GO:0003924; GO:0004003; GO:0004004; GO:0005524; GO:0005576; GO:0005634; GO:0005730; GO:0005737; GO:0005741; GO:0005829; GO:0006351; GO:0006413; GO:0007059; GO:0008134; GO:0008143; GO:0008190; GO:0008625; GO:0009615; GO:0010494; GO:0010501; GO:0010628; GO:0016032; GO:0016055; GO:0016607; GO:0016887; GO:0017111; GO:0017148; GO:0030307; GO:0030308; GO:0031333; GO:0031369; GO:0032728; GO:0033592; GO:0034063; GO:0034774; GO:0035556; GO:0035613; GO:0042256; GO:0043024; GO:0043065; GO:0043066; GO:0043154; GO:0043273; GO:0043280; GO:0043312; GO:0043539; GO:0045070; GO:0045087; GO:0045296; GO:0045727; GO:0045944; GO:0045948; GO:0048027; GO:0070062; GO:0071243; GO:0071470; GO:0071651; GO:0071902; GO:0090263; GO:0097193; GO:1900087; GO:1903608; GO:1904813; GO:2001243,1.00E-07,9.27E-05,1.00E-07,0.141546167,0.115322665,0.109064726,0.115322665,-3.116252013,0.121946887,0.061004409,12.73547113,0.000137463,0.006762548,-1.111969932,73243,2.169889659,6,2,0,1.00E-07,0.115322665,1153226.65,20.13724465,-2.820655416,-3.116252013,-3.196743514,1
Q9NV31,IMP3,IMP3_HUMAN,Mpp10 complex [GO:0034457]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; preribosome [GO:0030684]; small-subunit processome [GO:0032040]; RNA binding [GO:0003723]; snoRNA binding [GO:0030515]; rRNA processing [GO:0006364],"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12655004}.",U3 small nucleolar ribonucleoprotein protein IMP3 (U3 snoRNP protein IMP3) (BRMS2),GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0006364; GO:0030515; GO:0030684; GO:0032040; GO:0034457,1.00E-07,1.00E-07,1.13E-05,0.113717045,0.150482088,0.127161891,0.127161891,-2.975261722,0.130449856,0.065228747,12.62085012,0.000142814,0.006897984,-1.158792099,21850,2.16127783,6,2,0,1.00E-07,0.127161891,1271618.907,20.27823494,-3.136479581,-2.732336321,-2.975261722,1
Q9Y3C6,PPIL1,PPIL1_HUMAN,"catalytic step 2 spliceosome [GO:0071013]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U2-type catalytic step 2 spliceosome [GO:0071007]; cyclosporin A binding [GO:0016018]; disordered domain specific binding [GO:0097718]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; mRNA splicing, via spliceosome [GO:0000398]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11991638, ECO:0000269|PubMed:28076346, ECO:0000269|PubMed:28502770}.",Peptidyl-prolyl cis-trans isomerase-like 1 (PPIase) (EC 5.2.1.8) (Rotamase PPIL1),GO:0000398; GO:0000413; GO:0003755; GO:0005634; GO:0005654; GO:0006457; GO:0016018; GO:0071007; GO:0071013; GO:0097718,2.26E-05,1.95E-05,3.32E-05,0.008083901,0.009638276,0.010770311,0.009638276,-6.697009148,0.009472388,0.004761302,12.60778963,0.000143439,0.006897984,-1.164152803,18237,2.16127783,7,0,0,2.26E-05,0.009638276,425.6565617,8.73354606,-6.95073257,-6.697009148,-6.536796276,1
Q719H9,KCTD1,KCTD1_HUMAN,"nucleoplasm [GO:0005654]; nucleus [GO:0005634]; identical protein binding [GO:0042802]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; protein homooligomerization [GO:0051260]; transcription, DNA-templated [GO:0006351]",SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18358072}.,BTB/POZ domain-containing protein KCTD1 (Potassium channel tetramerization domain-containing protein 1),GO:0000122; GO:0003714; GO:0005634; GO:0005654; GO:0006351; GO:0008134; GO:0042802; GO:0045892; GO:0051260,0.055090573,0.08142537,0.050740332,0.211043005,0.231269925,0.246565168,0.231269925,-2.112350429,0.167207274,0.146022395,12.35620571,0.000156177,0.007305307,-1.268455272,29405,2.136361558,3,0,0,0.055090573,0.231269925,4.197994536,2.069700289,-2.244391083,-2.112350429,-2.019959092,1
Q9NWQ8,PAG1,PHAG1_HUMAN,integral component of plasma membrane [GO:0005887]; intracellular [GO:0005622]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; SH2 domain binding [GO:0042169]; SH3/SH2 adaptor activity [GO:0005070]; transmembrane receptor protein tyrosine kinase adaptor activity [GO:0005068]; adaptive immune response [GO:0002250]; intracellular signal transduction [GO:0035556]; negative regulation of T cell activation [GO:0050868]; regulation of T cell activation [GO:0050863]; signal transduction [GO:0007165]; T cell receptor signaling pathway [GO:0050852]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10790433, ECO:0000269|PubMed:18070987}; Single-pass type III membrane protein {ECO:0000269|PubMed:10790433, ECO:0000269|PubMed:18070987}. Note=Present in lipid rafts.",Phosphoprotein associated with glycosphingolipid-enriched microdomains 1 (Csk-binding protein) (Transmembrane adapter protein PAG) (Transmembrane phosphoprotein Cbp),GO:0002250; GO:0005068; GO:0005070; GO:0005622; GO:0005886; GO:0005887; GO:0007165; GO:0007169; GO:0035556; GO:0042169; GO:0045121; GO:0050852; GO:0050863; GO:0050868,1.00E-07,1.00E-07,0.016220471,0.128847372,0.102056002,0.118949701,0.118949701,-3.071576451,0.111210801,0.061012291,12.15325495,0.000167474,0.007334144,-1.354068806,46981,2.134650551,6,2,0,1.00E-07,0.118949701,1189497.008,20.18192021,-2.956264985,-3.292567061,-3.071576451,1
Q9HCH0,NCKAP5L,NCK5L_HUMAN,centrosome [GO:0005813]; cytoplasm [GO:0005737]; microtubule plus-end [GO:0035371]; microtubule bundle formation [GO:0001578]; microtubule depolymerization [GO:0007019],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:26482847, ECO:0000269|PubMed:26485573, ECO:0000269|PubMed:26549230}. Note=Localizes to microtubule plus ends (PubMed:26485573, PubMed:26482847). Associates with centrosomes during interphase, but dissociates from these structures from the onset of mitosis (PubMed:26549230). {ECO:0000269|PubMed:26482847, ECO:0000269|PubMed:26485573, ECO:0000269|PubMed:26549230}.",Nck-associated protein 5-like (NCKAP5-like) (Centrosomal protein of 169 kDa) (Cep169),GO:0001578; GO:0005737; GO:0005813; GO:0007019; GO:0035371,0.000147645,0.003837467,5.98E-05,0.122527061,0.115732668,0.151605986,0.122527061,-3.028827686,0.12860693,0.065651773,12.06967372,0.000172417,0.007376895,-1.389719917,139013,2.132126426,4,0,0,0.000147645,0.122527061,829.8739493,9.69674841,-3.028827686,-3.111131943,-2.721601374,1
P14373,TRIM27,TRI27_HUMAN,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; fibrillar center [GO:0001650]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; cell proliferation [GO:0008283]; innate immune response [GO:0045087]; interferon-gamma secretion [GO:0072643]; negative regulation of adaptive immune response [GO:0002820]; negative regulation of calcium ion import [GO:0090281]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of interleukin-2 secretion [GO:1900041]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of tumor necrosis factor production [GO:0032720]; negative regulation of viral release from host cell [GO:1902187]; negative regulation of viral transcription [GO:0032897]; positive regulation of actin nucleation [GO:0051127]; positive regulation of DNA binding transcription factor activity [GO:0051091]; protein K63-linked ubiquitination [GO:0070534]; protein trimerization [GO:0070206]; retrograde transport, endosome to Golgi [GO:0042147]; spermatogenesis [GO:0007283]; transcription, DNA-templated [GO:0006351]","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17156811}. Cytoplasm {ECO:0000269|PubMed:17156811}. Nucleus, PML body {ECO:0000250}. Early endosome {ECO:0000269|PubMed:1437549, ECO:0000269|PubMed:23452853, ECO:0000269|PubMed:9247190}. Note=Nuclear or cytoplasmic depending on the cell type (By similarity). Colocalized with PML and EIF3S6 in nuclear bodies. Recruited to retromer-containing endosomes via interaction with MAGEL2 (PubMed:23452853). {ECO:0000250, ECO:0000269|PubMed:23452853}.",Zinc finger protein RFP (EC 2.3.2.27) (RING finger protein 76) (RING-type E3 ubiquitin transferase TRIM27) (Ret finger protein) (Tripartite motif-containing protein 27),GO:0000122; GO:0001650; GO:0002820; GO:0003676; GO:0003677; GO:0004714; GO:0004842; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005768; GO:0005769; GO:0005829; GO:0005887; GO:0006351; GO:0006469; GO:0007283; GO:0008270; GO:0008283; GO:0016020; GO:0016605; GO:0031965; GO:0032720; GO:0032897; GO:0034314; GO:0042147; GO:0042802; GO:0045087; GO:0045814; GO:0046872; GO:0051091; GO:0051127; GO:0061630; GO:0070206; GO:0070534; GO:0072643; GO:0090281; GO:1900041; GO:1902187,0.000642864,0.003053985,0.001000392,0.216076523,0.235201996,0.174702571,0.216076523,-2.210385762,0.207094616,0.105113055,12.04212775,0.000174085,0.007376895,-1.40152051,58490,2.132126426,6,0,0,0.001000392,0.216076523,215.9919086,7.754833458,-2.210385762,-2.08802779,-2.517027259,1
Q6IEE7,TMEM132E,T132E_HUMAN,integral component of membrane [GO:0016021],SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.,Transmembrane protein 132E,GO:0016021,0.005191566,0.002573591,0.005957239,0.182553909,0.176471811,0.131444681,0.176471811,-2.502490343,0.158916002,0.084032133,10.22391766,0.000345914,0.011159507,-2.242401994,107094,1.952354998,6,0,0,0.005191566,0.176471811,33.99201988,5.087124188,-2.45360553,-2.502490343,-2.927472336,1
Q96CX2,KCTD12,KCD12_HUMAN,cell junction [GO:0030054]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; protein homooligomerization [GO:0051260],"SUBCELLULAR LOCATION: Cell junction, synapse, presynaptic cell membrane. Cell junction, synapse, postsynaptic cell membrane {ECO:0000250}.",BTB/POZ domain-containing protein KCTD12 (Pfetin) (Predominantly fetal expressed T1 domain),GO:0003723; GO:0030054; GO:0042734; GO:0042802; GO:0045211; GO:0051260,1.00E-07,1.00E-07,3.72E-05,0.166433012,0.172926056,0.122712067,0.166433012,-2.586986478,0.154011254,0.077018084,10.14937161,0.000356641,0.011182601,-2.279766901,35701,1.951457184,11,2,0,1.00E-07,0.166433012,1664330.116,20.66651019,-2.586986478,-2.531772828,-3.026650975,1
O94829,IPO13,IPO13_HUMAN,cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; nuclear localization sequence binding [GO:0008139]; protein transporter activity [GO:0008565]; Ran GTPase binding [GO:0008536]; protein import into nucleus [GO:0006606],SUBCELLULAR LOCATION: Cytoplasm. Nucleus.,Importin-13 (Imp13) (Karyopherin-13) (Kap13) (Ran-binding protein 13) (RanBP13),GO:0005737; GO:0006606; GO:0008139; GO:0008536; GO:0008565; GO:0031965,0.025686719,0.020016438,0.026269082,0.084603982,0.077829686,0.067166236,0.077829686,-3.683535658,0.052542555,0.050262024,10.01146107,0.000377582,0.011400774,-2.349562269,108195,1.94306566,10,0,0,0.025686719,0.077829686,3.029958214,1.599297898,-3.563130615,-3.683535658,-3.896120018,1
Q9NRN7,AASDHPPT,ADPPT_HUMAN,cytosol [GO:0005829]; extracellular exosome [GO:0070062]; holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287]; lysine biosynthetic process via aminoadipic acid [GO:0019878]; pantothenate metabolic process [GO:0015939],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12815048}.,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (EC 2.7.8.-) (4'-phosphopantetheinyl transferase) (Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase) (AASD-PPT) (LYS5 ortholog),GO:0000287; GO:0005829; GO:0008897; GO:0015939; GO:0019878; GO:0070062,7.52E-05,1.00E-07,1.00E-07,0.145656961,0.13564026,0.101655057,0.13564026,-2.882142638,0.127625634,0.063837943,9.959289263,0.000385894,0.011400774,-2.376196287,35776,1.94306566,12,2,0,1.00E-07,0.13564026,1356402.602,20.37135403,-2.779353446,-2.882142638,-3.298246109,1
Q9H5H4,ZNF768,ZN768_HUMAN,"DNA-directed RNA polymerase II, core complex [GO:0005665]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; transcription by RNA polymerase II [GO:0006366]",SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,Zinc finger protein 768,GO:0000981; GO:0003677; GO:0003723; GO:0005665; GO:0006366; GO:0046872,1.00E-07,1.00E-07,1.00E-07,0.078302617,0.05958895,0.056699812,0.05958895,-4.068811358,0.064863693,0.032431947,9.953864993,0.000386771,0.011400774,-2.378972747,60229,1.94306566,6,3,0,1.00E-07,0.05958895,595889.5022,19.18468531,-3.674795673,-4.068811358,-4.140512227,1
Q5TGY3,AHDC1,AHDC1_HUMAN,DNA binding [GO:0003677],,AT-hook DNA-binding motif-containing protein 1,GO:0003677,5.37E-05,2.46E-05,0.001216227,0.092459135,0.107418937,0.072564144,0.092459135,-3.435040323,0.090382538,0.045622803,9.295820322,0.000513943,0.013273075,-2.726499189,168349,1.877028457,15,0,0,5.37E-05,0.092459135,1720.601599,10.74869737,-3.435040323,-3.218679751,-3.784599346,1
Q9NYQ7,CELSR3,CELR3_HUMAN,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; G-protein coupled receptor activity [GO:0004930]; axonal fasciculation [GO:0007413]; cilium assembly [GO:0060271]; dopaminergic neuron axon guidance [GO:0036514]; G-protein coupled receptor signaling pathway [GO:0007186]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; neuron migration [GO:0001764]; planar cell polarity pathway involved in axon guidance [GO:1904938]; regulation of protein localization [GO:0032880]; regulation of protein phosphorylation [GO:0001932]; serotonergic neuron axon guidance [GO:0036515]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]",SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.,Cadherin EGF LAG seven-pass G-type receptor 3 (Cadherin family member 11) (Epidermal growth factor-like protein 1) (EGF-like protein 1) (Flamingo homolog 1) (hFmi1) (Multiple epidermal growth factor-like domains protein 2) (Multiple EGF-like domains protein 2),GO:0001764; GO:0001932; GO:0004930; GO:0005509; GO:0005886; GO:0007156; GO:0007186; GO:0007413; GO:0016021; GO:0032880; GO:0036514; GO:0036515; GO:0060071; GO:0060271; GO:1904938,0.000299172,0.000327281,0.000245871,0.071431546,0.072782532,0.050343901,0.071431546,-3.807294842,0.064561885,0.032571717,9.234003806,0.000528353,0.01342048,-2.76028472,358185,1.872231961,31,0,0,0.000299172,0.071431546,238.7638103,7.899440372,-3.807294842,-3.780263949,-4.312039181,1
Q9NYY8,FASTKD2,FAKD2_HUMAN,intercellular bridge [GO:0045171]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; ribonucleoprotein granule [GO:0035770]; protein kinase activity [GO:0004672]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; cellular respiration [GO:0045333]; mitochondrial large ribosomal subunit assembly [GO:1902775],"SUBCELLULAR LOCATION: Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:20869947, ECO:0000269|PubMed:25683715}. Note=Localizes to mitochondrial RNA granules found in close proximity to the mitochondrial nucleoids. {ECO:0000269|PubMed:25683715}.","FAST kinase domain-containing protein 2, mitochondrial",GO:0003723; GO:0004672; GO:0005634; GO:0005739; GO:0019843; GO:0035770; GO:0042645; GO:0045171; GO:0045333; GO:1902775,0.000108815,0.000222193,0.000140905,0.070011519,0.080468827,0.103218023,0.080468827,-3.635426191,0.084408819,0.042361714,8.947535681,0.000601947,0.014337582,-2.919566692,81463,1.843524088,8,0,0,0.000140905,0.080468827,571.0873701,9.157567669,-3.836263877,-3.635426191,-3.276233193,1
P50542,PEX5,PEX5_HUMAN,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; intracellular [GO:0005622]; membrane [GO:0016020]; peroxisomal matrix [GO:0005782]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; protein-containing complex [GO:0032991]; enzyme binding [GO:0019899]; peroxisome matrix targeting signal-1 binding [GO:0005052]; peroxisome targeting sequence binding [GO:0000268]; protein C-terminus binding [GO:0008022]; protein N-terminus binding [GO:0047485]; small GTPase binding [GO:0031267]; negative regulation of protein homotetramerization [GO:1901094]; protein import into peroxisome matrix [GO:0016558]; protein import into peroxisome matrix, docking [GO:0016560]; protein import into peroxisome matrix, translocation [GO:0016561]; protein import into peroxisome membrane [GO:0045046]; protein targeting to peroxisome [GO:0006625]; protein tetramerization [GO:0051262]; protein ubiquitination [GO:0016567]",SUBCELLULAR LOCATION: Cytoplasm. Peroxisome membrane; Peripheral membrane protein. Note=Its distribution appears to be dynamic. It is probably a cycling receptor found mainly in the cytoplasm and as well associated to the peroxisomal membrane through a docking factor (PEX13).,Peroxisomal targeting signal 1 receptor (PTS1 receptor) (PTS1R) (PTS1-BP) (Peroxin-5) (Peroxisomal C-terminal targeting signal import receptor) (Peroxisome receptor 1),GO:0000268; GO:0005052; GO:0005622; GO:0005737; GO:0005777; GO:0005778; GO:0005782; GO:0005794; GO:0005829; GO:0006625; GO:0008022; GO:0016020; GO:0016558; GO:0016560; GO:0016561; GO:0016567; GO:0019899; GO:0031267; GO:0032991; GO:0045046; GO:0047485; GO:0051262; GO:1901094,0.002247134,0.000135719,0.000215602,0.081426834,0.086792028,0.057272916,0.081426834,-3.618351885,0.074297774,0.038015039,8.479127685,0.000751329,0.016240841,-3.190136313,70865,1.789391478,19,0,0,0.000215602,0.081426834,377.6721461,8.560990577,-3.618351885,-3.526293656,-4.126003127,1
