PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_P_0_1,ConditionNorm_P_0_2,ConditionNorm_P_0_3,ConditionNorm_P_300_1,ConditionNorm_P_300_2,ConditionNorm_P_300_3,median,Log2,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog.adj.P.Val.,TotalPeptidesOverallInGene,P0_Undetected,P300_Undetected,medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3,medians_.ConditionNorm_P_300_1_ConditionNorm_P_300_2_ConditionNorm_P_300_3,Ratio,Ratio_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2,lamp
Q16718,NDUFA5,NDUA5_HUMAN,"mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]",SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Peripheral membrane protein {ECO:0000305}; Matrix side {ECO:0000305}.,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit),GO:0005743; GO:0005747; GO:0006120; GO:0008137; GO:0032981,0.014817538,0.018806978,0.017491346,0.091970675,0.083652836,0.072566024,0.083652836,-3.579441743,0.065691225,0.049884233,11.88750359,0.000183824,0.007551525,-1.468236687,13459,2.121965321,4,0,0,0.017491346,0.083652836,4.782527198,2.257773173,-3.442682261,-3.579441743,-3.784561955,1
Q76G19,PDZD4,PDZD4_HUMAN,cell cortex [GO:0005938],"SUBCELLULAR LOCATION: Cytoplasm, cell cortex {ECO:0000269|PubMed:15077175}. Note=Mainly localized under the plasma membrane.",PDZ domain-containing protein 4 (PDZ domain-containing RING finger protein 4-like protein),GO:0005938,5.97E-05,6.96E-05,5.44E-05,0.199207289,0.263311714,0.26214259,0.26214259,-1.931576328,0.241492625,0.120807552,11.84990274,0.000186293,0.007557663,-1.484583892,86171,2.121612493,8,0,0,5.97E-05,0.26214259,4390.12322,12.10004572,-2.327657659,-1.92515639,-1.931576328,1
Q9UL46,PSME2,PSME2_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; proteasome activator complex [GO:0008537]; proteasome complex [GO:0000502]; endopeptidase activator activity [GO:0061133]; identical protein binding [GO:0042802]; interleukin-12-mediated signaling pathway [GO:0035722]; positive regulation of endopeptidase activity [GO:0010950]; post-translational protein modification [GO:0043687]; protein deubiquitination [GO:0016579]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of proteasomal protein catabolic process [GO:0061136],,Proteasome activator complex subunit 2 (11S regulator complex subunit beta) (REG-beta) (Activator of multicatalytic protease subunit 2) (Proteasome activator 28 subunit beta) (PA28b) (PA28beta),GO:0000502; GO:0005654; GO:0005737; GO:0005829; GO:0008537; GO:0010950; GO:0016020; GO:0016579; GO:0035722; GO:0042802; GO:0043687; GO:0061133; GO:0061136; GO:0070062; GO:2000045,0.001537264,0.001271933,0.000612453,0.022270429,0.021523619,0.016812335,0.021523619,-5.53793551,0.019061577,0.010671339,11.43959494,0.000216059,0.008483793,-1.66620537,27402,2.071409931,3,0,0,0.001271933,0.021523619,16.92197473,4.08082603,-5.488726845,-5.53793551,-5.894336088,1
Q9Y3I1,FBXO7,FBX7_HUMAN,classical Lewy body [GO:0097414]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glial cytoplasmic inclusion [GO:0097409]; Lewy body core [GO:1990037]; Lewy body corona [GO:1990038]; Lewy neurite [GO:0097462]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; SCF ubiquitin ligase complex [GO:0019005]; ubiquitin ligase complex [GO:0000151]; protein heterodimerization activity [GO:0046982]; protein kinase binding [GO:0019901]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; autophagy of mitochondrion [GO:0000422]; negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of hydrogen peroxide-induced neuron death [GO:1903208]; negative regulation of lymphocyte differentiation [GO:0045620]; negative regulation of oxidative stress-induced neuron death [GO:1903204]; positive regulation of autophagy of mitochondrion [GO:1903599]; post-translational protein modification [GO:0043687]; protein polyubiquitination [GO:0000209]; protein targeting to mitochondrion [GO:0006626]; protein ubiquitination [GO:0016567]; regulation of locomotion [GO:0040012]; regulation of neuron projection development [GO:0010975]; regulation of protein stability [GO:0031647]; ubiquitin-dependent protein catabolic process [GO:0006511],"SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Mitochondrion. Cytoplasm, cytosol. Note=Predominantly cytoplasmic. A minor proportion is detected in the nucleus. Relocates from the cytosol to depolarized mitochondria.",F-box only protein 7,GO:0000151; GO:0000209; GO:0000422; GO:0004842; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006511; GO:0006626; GO:0010975; GO:0016567; GO:0019005; GO:0019901; GO:0031625; GO:0031647; GO:0032991; GO:0040012; GO:0043130; GO:0043687; GO:0045620; GO:0045736; GO:0046982; GO:0097409; GO:0097414; GO:0097462; GO:1903204; GO:1903208; GO:1903599; GO:1990037; GO:1990038; GO:2000134,0.001562913,1.32E-05,1.69E-05,0.132555203,0.133018984,0.099252743,0.132555203,-2.915334798,0.12107796,0.061069996,11.24226334,0.000232443,0.008853276,-1.755738153,58503,2.052896014,5,0,0,1.69E-05,0.132555203,7838.954303,12.9364455,-2.915334798,-2.91029594,-3.332749216,1
P54105,CLNS1A,ICLN_HUMAN,cytoskeleton [GO:0005856]; cytosol [GO:0005829]; methylosome [GO:0034709]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pICln-Sm protein complex [GO:0034715]; plasma membrane [GO:0005886]; protein heterodimerization activity [GO:0046982]; RNA binding [GO:0003723]; cell volume homeostasis [GO:0006884]; chloride transport [GO:0006821]; spliceosomal snRNP assembly [GO:0000387],"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:18984161, ECO:0000269|PubMed:21081503}. Nucleus {ECO:0000269|PubMed:18984161, ECO:0000269|PubMed:21081503}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:18984161}. Note=A small fraction is also associated with the cytoskeleton (PubMed:18984161).","Methylosome subunit pICln (Chloride channel, nucleotide sensitive 1A) (Chloride conductance regulatory protein ICln) (I(Cln)) (Chloride ion current inducer protein) (ClCI) (Reticulocyte pICln)",GO:0000387; GO:0003723; GO:0005634; GO:0005654; GO:0005829; GO:0005856; GO:0005886; GO:0006821; GO:0006884; GO:0034709; GO:0034715; GO:0046982,1.00E-07,1.00E-07,1.00E-07,0.053844116,0.048335228,0.038578785,0.048335228,-4.370781137,0.046919276,0.023459738,10.92257167,0.000262348,0.009382416,-1.90395025,26215,2.027685299,3,3,0,1.00E-07,0.048335228,483352.282,18.88271553,-4.215067496,-4.370781137,-4.696048481,1
P78332,RBM6,RBM6_HUMAN,nucleus [GO:0005634]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; RNA processing [GO:0006396],SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,RNA-binding protein 6 (Lung cancer antigen NY-LU-12) (Protein G16) (RNA-binding motif protein 6) (RNA-binding protein DEF-3),GO:0003677; GO:0003723; GO:0005634; GO:0006396,0.000134645,1.00E-07,1.00E-07,0.012131766,0.008886489,0.009688642,0.009688642,-6.689489881,0.010190684,0.00514029,10.82121155,0.0002728,0.009609757,-1.951785892,128644,2.017287598,10,2,0,1.00E-07,0.009688642,96886.4158,16.56400678,-6.365066673,-6.814170736,-6.689489881,1
Q12852,MAP3K12,M3K12_HUMAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; growth cone [GO:0030426]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; histone phosphorylation [GO:0016572]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; MAPK cascade [GO:0000165]; negative regulation of motor neuron apoptotic process [GO:2000672]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.,Mitogen-activated protein kinase kinase kinase 12 (EC 2.7.11.25) (Dual leucine zipper bearing kinase) (DLK) (Leucine-zipper protein kinase) (ZPK) (MAPK-upstream kinase) (MUK) (Mixed lineage kinase),GO:0000165; GO:0004672; GO:0004674; GO:0004709; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0006468; GO:0007254; GO:0016020; GO:0016572; GO:0018105; GO:0018107; GO:0019901; GO:0030426; GO:0035556; GO:0042803; GO:0046777; GO:2000672,1.00E-07,1.00E-07,1.00E-07,0.144188367,0.116037633,0.104770187,0.116037633,-3.107335321,0.121665296,0.060832748,10.78507758,0.000276649,0.00967507,-1.968939599,93219,2.014345892,5,3,0,1.00E-07,0.116037633,1160376.332,20.14616134,-2.793973318,-3.107335321,-3.254699854,1
Q96N64,PWWP2A,PWP2A_HUMAN,nucleus [GO:0005634]; chromatin binding [GO:0003682]; histone binding [GO:0042393],SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28645917}.,PWWP domain-containing protein 2A,GO:0003682; GO:0005634; GO:0042393,0.000245236,0.00027751,0.006167401,0.134411939,0.152096493,0.108054442,0.134411939,-2.895266804,0.129290909,0.066875504,10.37704496,0.00032509,0.010702951,-2.166430418,81960,1.970496457,4,0,0,0.00027751,0.134411939,484.3496087,8.919904966,-2.895266804,-2.716941205,-3.21016971,1
Q8IWA4,MFN1,MFN1_HUMAN,integral component of membrane [GO:0016021]; integral component of mitochondrial outer membrane [GO:0031307]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; outer mitochondrial membrane protein complex [GO:0098799]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; GTP metabolic process [GO:0046039]; macroautophagy [GO:0016236]; mitochondrial fusion [GO:0008053]; mitochondrial membrane fusion [GO:1990613]; mitochondrion localization [GO:0051646],"SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:12759376, ECO:0000305|PubMed:27920125}; Multi-pass membrane protein {ECO:0000305|PubMed:12759376}.; SUBCELLULAR LOCATION: Isoform 2: Cytoplasm {ECO:0000269|PubMed:11751411}.",Mitofusin-1 (EC 3.6.5.-) (Fzo homolog) (Transmembrane GTPase MFN1),GO:0003924; GO:0005525; GO:0005739; GO:0005741; GO:0008053; GO:0016021; GO:0016236; GO:0031307; GO:0046039; GO:0051646; GO:0098799; GO:1990613,0.002167381,2.21E-05,2.76E-05,0.056578522,0.061860391,0.043771147,0.056578522,-4.143601705,0.053330986,0.027404527,10.22814288,0.000345318,0.011159507,-2.240291693,84160,1.952354998,10,0,0,2.76E-05,0.056578522,2050.17658,11.00153246,-4.143601705,-4.014840236,-4.513875994,1
Q96SW2,CRBN,CRBN_HUMAN,Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; negative regulation of ion transmembrane transport [GO:0034766]; negative regulation of protein homooligomerization [GO:0032463]; positive regulation of protein homodimerization activity [GO:0090073]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20223979}. Nucleus {ECO:0000269|PubMed:20223979}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.,Protein cereblon,GO:0005634; GO:0005730; GO:0005737; GO:0016020; GO:0016567; GO:0031464; GO:0032463; GO:0034766; GO:0043161; GO:0046872; GO:0090073,1.00E-07,1.00E-07,0.006105731,0.107393673,0.088290279,0.077082309,0.088290279,-3.501601593,0.088886777,0.046478699,10.17231074,0.000353297,0.011159507,-2.268242238,50546,1.952354998,8,2,0,1.00E-07,0.088290279,882902.7869,19.75189507,-3.219019089,-3.501601593,-3.697456405,1
Q9BRD0,BUD13,BUD13_HUMAN,"nucleus [GO:0005634]; RES complex [GO:0070274]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]",,BUD13 homolog,GO:0000398; GO:0003723; GO:0005634; GO:0070274,0.027879116,0.030400627,0.014018722,0.126880609,0.119109187,0.100368985,0.119109187,-3.069643404,0.091353439,0.069776208,10.12752638,0.000359862,0.011235758,-2.290764275,70521,1.949397614,5,0,0,0.027879116,0.119109187,4.272344435,2.095027961,-2.978456492,-3.069643404,-3.316614561,1
Q2TBE0,CWF19L2,C19L2_HUMAN,,,CWF19-like protein 2,,9.56E-05,9.95E-05,5.72E-05,0.176879409,0.171462174,0.125674799,0.171462174,-2.544037757,0.157921367,0.079044777,10.10384728,0.000363393,0.011270448,-2.302709526,103787,1.948058805,3,0,0,9.56E-05,0.171462174,1792.721188,10.80793542,-2.499161984,-2.544037757,-2.992232708,1
P00441,SOD1,SODC_HUMAN,axon cytoplasm [GO:1904115]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendrite cytoplasm [GO:0032839]; dense core granule [GO:0031045]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosome [GO:0005764]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; peroxisome [GO:0005777]; protein-containing complex [GO:0032991]; chaperone binding [GO:0051087]; copper ion binding [GO:0005507]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; protein phosphatase 2B binding [GO:0030346]; Rac GTPase binding [GO:0048365]; superoxide dismutase activity [GO:0004784]; zinc ion binding [GO:0008270]; activation of MAPK activity [GO:0000187]; anterograde axonal transport [GO:0008089]; auditory receptor cell stereocilium organization [GO:0060088]; cell aging [GO:0007569]; cellular iron ion homeostasis [GO:0006879]; cellular response to ATP [GO:0071318]; cellular response to cadmium ion [GO:0071276]; cellular response to oxidative stress [GO:0034599]; cellular response to potassium ion [GO:0035865]; embryo implantation [GO:0007566]; glutathione metabolic process [GO:0006749]; heart contraction [GO:0060047]; hydrogen peroxide biosynthetic process [GO:0050665]; interleukin-12-mediated signaling pathway [GO:0035722]; locomotory behavior [GO:0007626]; muscle cell cellular homeostasis [GO:0046716]; myeloid cell homeostasis [GO:0002262]; negative regulation of cholesterol biosynthetic process [GO:0045541]; negative regulation of neuron apoptotic process [GO:0043524]; neurofilament cytoskeleton organization [GO:0060052]; ovarian follicle development [GO:0001541]; peripheral nervous system myelin maintenance [GO:0032287]; placenta development [GO:0001890]; platelet degranulation [GO:0002576]; positive regulation of apoptotic process [GO:0043065]; positive regulation of catalytic activity [GO:0043085]; positive regulation of cytokine production [GO:0001819]; positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902177]; positive regulation of superoxide anion generation [GO:0032930]; reactive oxygen species metabolic process [GO:0072593]; regulation of blood pressure [GO:0008217]; regulation of GTPase activity [GO:0043087]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of multicellular organism growth [GO:0040014]; regulation of organ growth [GO:0046620]; regulation of protein kinase activity [GO:0045859]; regulation of T cell differentiation in thymus [GO:0033081]; relaxation of vascular smooth muscle [GO:0060087]; removal of superoxide radicals [GO:0019430]; response to amphetamine [GO:0001975]; response to antipsychotic drug [GO:0097332]; response to axon injury [GO:0048678]; response to carbon monoxide [GO:0034465]; response to copper ion [GO:0046688]; response to drug [GO:0042493]; response to ethanol [GO:0045471]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to organic substance [GO:0010033]; response to superoxide [GO:0000303]; retina homeostasis [GO:0001895]; retrograde axonal transport [GO:0008090]; sensory perception of sound [GO:0007605]; spermatogenesis [GO:0007283]; superoxide anion generation [GO:0042554]; superoxide metabolic process [GO:0006801]; thymus development [GO:0048538]; transmission of nerve impulse [GO:0019226],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19741096}. Mitochondrion {ECO:0000269|PubMed:19741096}. Nucleus {ECO:0000269|PubMed:22496122}. Note=Predominantly cytoplasmic; the pathogenic variants ALS1 Arg-86 and Ala-94 gradually aggregates and accumulates in mitochondria. {ECO:0000269|PubMed:19741096}.,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Superoxide dismutase 1) (hSod1),GO:0000187; GO:0000303; GO:0001541; GO:0001819; GO:0001890; GO:0001895; GO:0001975; GO:0002262; GO:0002576; GO:0004784; GO:0005507; GO:0005576; GO:0005615; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005758; GO:0005759; GO:0005764; GO:0005777; GO:0005829; GO:0006749; GO:0006801; GO:0006879; GO:0007283; GO:0007566; GO:0007569; GO:0007605; GO:0007626; GO:0008089; GO:0008090; GO:0008217; GO:0008270; GO:0009408; GO:0010033; GO:0019226; GO:0019430; GO:0030346; GO:0031012; GO:0031045; GO:0031410; GO:0032287; GO:0032839; GO:0032930; GO:0032991; GO:0033081; GO:0034465; GO:0034599; GO:0035722; GO:0035865; GO:0040014; GO:0042493; GO:0042542; GO:0042554; GO:0042802; GO:0042803; GO:0043025; GO:0043065; GO:0043085; GO:0043087; GO:0043209; GO:0043524; GO:0045471; GO:0045541; GO:0045859; GO:0046620; GO:0046688; GO:0046716; GO:0048365; GO:0048538; GO:0048678; GO:0050665; GO:0051087; GO:0051881; GO:0060047; GO:0060052; GO:0060087; GO:0060088; GO:0070062; GO:0071276; GO:0071318; GO:0072593; GO:0097332; GO:1902177; GO:1904115,0.005806315,0.001648023,0.001426238,0.021062601,0.021694536,0.018090056,0.021062601,-5.569172574,0.017322206,0.011621295,9.95802328,0.000386099,0.011400774,-2.376844167,15936,1.94306566,6,0,0,0.001648023,0.021062601,12.78052479,3.675875172,-5.569172574,-5.526524456,-5.788659345,1
Q9H6U8,ALG9,ALG9_HUMAN,"endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; alpha-1,2-mannosyltransferase activity [GO:0000026]; dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0052926]; dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0052918]; mannosyltransferase activity [GO:0000030]; dolichol-linked oligosaccharide biosynthetic process [GO:0006488]",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:15148656}; Multi-pass membrane protein {ECO:0000305}.,"Alpha-1,2-mannosyltransferase ALG9 (EC 2.4.1.259) (EC 2.4.1.261) (Asparagine-linked glycosylation protein 9 homolog) (Disrupted in bipolar disorder protein 1) (Dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase) (Dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase)",GO:0000026; GO:0000030; GO:0005783; GO:0005789; GO:0006488; GO:0016020; GO:0016021; GO:0052918; GO:0052926,0.000196416,1.00E-07,1.00E-07,0.046591689,0.041463859,0.032289974,0.041463859,-4.592001791,0.040049635,0.020090356,9.945991946,0.000388048,0.011400774,-2.383005103,69863,1.94306566,8,2,0,1.00E-07,0.041463859,414638.5918,18.66149487,-4.423783568,-4.592001791,-4.952769906,1
P11413,G6PD,G6PD_HUMAN,"cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleus [GO:0005634]; glucose binding [GO:0005536]; glucose-6-phosphate dehydrogenase activity [GO:0004345]; identical protein binding [GO:0042802]; NADP binding [GO:0050661]; protein homodimerization activity [GO:0042803]; cellular response to oxidative stress [GO:0034599]; cholesterol biosynthetic process [GO:0006695]; erythrocyte maturation [GO:0043249]; glucose 6-phosphate metabolic process [GO:0051156]; glucose metabolic process [GO:0006006]; glutathione metabolic process [GO:0006749]; lipid metabolic process [GO:0006629]; NADP metabolic process [GO:0006739]; NADPH regeneration [GO:0006740]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]; negative regulation of protein glutathionylation [GO:0010734]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; oxidation-reduction process [GO:0055114]; pentose biosynthetic process [GO:0019322]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, oxidative branch [GO:0009051]; positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel [GO:1904879]; regulation of neuron apoptotic process [GO:0043523]; response to ethanol [GO:0045471]; response to food [GO:0032094]; response to iron(III) ion [GO:0010041]; response to organic cyclic compound [GO:0014070]; ribose phosphate biosynthetic process [GO:0046390]; substantia nigra development [GO:0021762]",,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49),GO:0004345; GO:0005536; GO:0005634; GO:0005737; GO:0005829; GO:0006006; GO:0006098; GO:0006629; GO:0006695; GO:0006739; GO:0006740; GO:0006749; GO:0009051; GO:0009898; GO:0010041; GO:0010734; GO:0014070; GO:0016020; GO:0019322; GO:0021762; GO:0032094; GO:0034599; GO:0042802; GO:0042803; GO:0043249; GO:0043523; GO:0045471; GO:0046390; GO:0050661; GO:0051156; GO:0055114; GO:0061052; GO:0070062; GO:1904879; GO:2000378,0.000209806,0.000292275,0.000155974,0.041804343,0.040913705,0.029701988,0.040913705,-4.611272011,0.037253994,0.018846348,9.939083726,0.000389173,0.011400774,-2.386545712,59257,1.94306566,14,0,0,0.000209806,0.040913705,195.0075487,7.607386162,-4.580203346,-4.611272011,-5.073296707,1
Q9H857,NT5DC2,NT5D2_HUMAN,5'-nucleotidase activity [GO:0008253]; metal ion binding [GO:0046872],,5'-nucleotidase domain-containing protein 2 (EC 3.1.3.-),GO:0008253; GO:0046872,0.00030239,0.000332684,0.000744893,0.067331759,0.07559529,0.051993104,0.067331759,-3.892569036,0.064513395,0.032716687,9.692345531,0.000432104,0.011922736,-2.514504486,60719,1.923624081,10,0,0,0.000332684,0.067331759,202.3897816,7.660992642,-3.892569036,-3.725559845,-4.265535913,1
P62979,RPS27A,RS27A_HUMAN,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; endocytic vesicle membrane [GO:0030666]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; host cell [GO:0043657]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; myelin sheath [GO:0043209]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; small ribosomal subunit [GO:0015935]; vesicle [GO:0031982]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; activation of MAPK activity [GO:0000187]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; cellular protein metabolic process [GO:0044267]; cytokine-mediated signaling pathway [GO:0019221]; DNA damage response, detection of DNA damage [GO:0042769]; endosomal transport [GO:0016197]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; global genome nucleotide-excision repair [GO:0070911]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; interleukin-1-mediated signaling pathway [GO:0070498]; interstrand cross-link repair [GO:0036297]; intracellular transport of virus [GO:0075733]; JNK cascade [GO:0007254]; membrane organization [GO:0061024]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of apoptotic process [GO:0043066]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; nucleotide-binding oligomerization domain containing signaling pathway [GO:0070423]; nucleotide-excision repair, DNA damage recognition [GO:0000715]; nucleotide-excision repair, DNA gap filling [GO:0006297]; nucleotide-excision repair, DNA incision [GO:0033683]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]; nucleotide-excision repair, preincision complex assembly [GO:0006294]; positive regulation of apoptotic process [GO:0043065]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein deubiquitination [GO:0016579]; protein polyubiquitination [GO:0000209]; protein targeting to peroxisome [GO:0006625]; protein ubiquitination [GO:0016567]; regulation of mRNA stability [GO:0043488]; regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; stress-activated MAPK cascade [GO:0051403]; transcription-coupled nucleotide-excision repair [GO:0006283]; transforming growth factor beta receptor signaling pathway [GO:0007179]; translation [GO:0006412]; translational initiation [GO:0006413]; translesion synthesis [GO:0019985]; transmembrane transport [GO:0055085]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]; viral life cycle [GO:0019058]; virion assembly [GO:0019068]; Wnt signaling pathway [GO:0016055]",SUBCELLULAR LOCATION: Ubiquitin: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.,Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a (Small ribosomal subunit protein eS31)],GO:0000122; GO:0000184; GO:0000187; GO:0000209; GO:0000715; GO:0002755; GO:0003723; GO:0003735; GO:0005615; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005741; GO:0005789; GO:0005829; GO:0005886; GO:0006283; GO:0006294; GO:0006296; GO:0006297; GO:0006412; GO:0006413; GO:0006614; GO:0006625; GO:0007179; GO:0007249; GO:0007254; GO:0010008; GO:0015935; GO:0016020; GO:0016055; GO:0016197; GO:0016567; GO:0016579; GO:0019058; GO:0019068; GO:0019221; GO:0019985; GO:0022627; GO:0030512; GO:0030666; GO:0031145; GO:0031982; GO:0033683; GO:0035666; GO:0036297; GO:0042276; GO:0042769; GO:0043065; GO:0043066; GO:0043209; GO:0043488; GO:0043657; GO:0044267; GO:0045944; GO:0046872; GO:0051092; GO:0051403; GO:0055085; GO:0061024; GO:0061418; GO:0070062; GO:0070423; GO:0070498; GO:0070911; GO:0070987; GO:0075733,0.002026324,0.054816576,0.001042738,0.19476001,0.190514737,0.216566223,0.19476001,-2.360230617,0.181318444,0.109954435,9.656857373,0.000438746,0.011922736,-2.53315291,17965,1.923624081,4,0,0,0.002026324,0.19476001,96.11496106,6.58668911,-2.360230617,-2.392025498,-2.207119845,1
