PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_P_0_1,ConditionNorm_P_0_2,ConditionNorm_P_0_3,ConditionNorm_P_300_1,ConditionNorm_P_300_2,ConditionNorm_P_300_3,median,Log2,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog.adj.P.Val.,TotalPeptidesOverallInGene,P0_Undetected,P300_Undetected,medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3,medians_.ConditionNorm_P_300_1_ConditionNorm_P_300_2_ConditionNorm_P_300_3,Ratio,Ratio_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2
Q9UHR5,SAP30BP,S30BP_HUMAN,"intermediate filament cytoskeleton [GO:0045111]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; apoptotic process [GO:0006915]; positive regulation of cell death [GO:0010942]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]",SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15496587}.,SAP30-binding protein (Transcriptional regulator protein HCNGP),GO:0005634; GO:0005654; GO:0006351; GO:0006355; GO:0006915; GO:0010942; GO:0045111,1.00E-07,1.00E-07,1.00E-07,0.070979181,0.068043882,0.073494192,0.070979181,-3.816460253,0.070838985,0.035419593,46.70856895,5.25E-07,0.000279038,5.730658102,33870,3.554336969,4,3,0,1.00E-07,0.070979181,709791.8145,19.43703641,-3.816460253,-3.877390735,-3.766225953
Q5VTL8,PRPF38B,PR38B_HUMAN,precatalytic spliceosome [GO:0071011]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380],SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,Pre-mRNA-splicing factor 38B (Sarcoma antigen NY-SAR-27),GO:0003723; GO:0006397; GO:0008380; GO:0071011,1.00E-07,1.00E-07,1.00E-07,0.0567691,0.061204844,0.058018531,0.058018531,-4.107342429,0.058664058,0.029332129,46.11970371,5.54E-07,0.000279038,5.66344106,64468,3.554336969,4,3,0,1.00E-07,0.058018531,580185.3072,19.14615424,-4.138750322,-4.030210343,-4.107342429
Q96RN5,MED15,MED15_HUMAN,cytoplasm [GO:0005737]; mediator complex [GO:0016592]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription cofactor activity [GO:0001104]; transcription initiation from RNA polymerase II promoter [GO:0006367],SUBCELLULAR LOCATION: Cytoplasm. Nucleus.,Mediator of RNA polymerase II transcription subunit 15 (Activator-recruited cofactor 105 kDa component) (ARC105) (CTG repeat protein 7a) (Mediator complex subunit 15) (Positive cofactor 2 glutamine/Q-rich-associated protein) (PC2 glutamine/Q-rich-associated protein) (TPA-inducible gene 1 protein) (TIG-1) (Trinucleotide repeat-containing gene 7 protein),GO:0001104; GO:0005634; GO:0005654; GO:0005737; GO:0006367; GO:0016020; GO:0016592,3.87E-06,6.87E-05,8.55E-06,0.075429993,0.07265778,0.069554927,0.07265778,-3.782738911,0.072520516,0.036287308,44.38120598,6.54E-07,0.000311016,5.459873549,86753,3.507217306,5,0,0,8.55E-06,0.07265778,8497.136785,13.05276107,-3.728717905,-3.782738911,-3.845703482
P42892,ECE1,ECE1_HUMAN,early endosome [GO:0005769]; endosome [GO:0005768]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intrinsic component of endosome membrane [GO:0031302]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; vesicle [GO:0031982]; Weibel-Palade body [GO:0033093]; endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; peptide hormone binding [GO:0017046]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]; bradykinin catabolic process [GO:0010815]; calcitonin catabolic process [GO:0010816]; ear development [GO:0043583]; embryonic digit morphogenesis [GO:0042733]; endothelin maturation [GO:0034959]; heart development [GO:0007507]; hormone catabolic process [GO:0042447]; peptide hormone processing [GO:0016486]; pharyngeal system development [GO:0060037]; positive regulation of receptor recycling [GO:0001921]; protein processing [GO:0016485]; regulation of systemic arterial blood pressure by endothelin [GO:0003100]; regulation of vasoconstriction [GO:0019229]; substance P catabolic process [GO:0010814],SUBCELLULAR LOCATION: Cell membrane; Single-pass type II membrane protein.,Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71),GO:0001921; GO:0003100; GO:0004175; GO:0004222; GO:0005765; GO:0005768; GO:0005769; GO:0005886; GO:0007507; GO:0008270; GO:0009897; GO:0010814; GO:0010815; GO:0010816; GO:0016020; GO:0016021; GO:0016485; GO:0016486; GO:0017046; GO:0019229; GO:0031302; GO:0031982; GO:0033093; GO:0034959; GO:0042447; GO:0042733; GO:0042803; GO:0043583; GO:0048471; GO:0060037; GO:0070062,1.00E-07,1.00E-07,5.33E-06,0.194274315,0.195654472,0.209572158,0.195654472,-2.353620008,0.199831806,0.099917745,42.49920595,7.88E-07,0.000337398,5.23031988,87164,3.471857122,3,2,0,1.00E-07,0.195654472,1956544.721,20.89987666,-2.363832923,-2.353620008,-2.254481029
Q658Y4,FAM91A1,F91A1_HUMAN,trans-Golgi network [GO:0005802],"SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:29084197}. Note=Recruitment to the TGN requires the presence of GOLGA1, GOLGA4 and TBC1D23. {ECO:0000269|PubMed:29084197}.",Protein FAM91A1,GO:0005802,1.86E-05,1.00E-07,1.00E-07,0.037568465,0.036044135,0.03443433,0.036044135,-4.794091652,0.036009377,0.018010955,41.27243821,8.94E-07,0.000364569,5.075155504,93909,3.438220821,9,2,0,1.00E-07,0.036044135,360441.3525,18.45940501,-4.734334006,-4.794091652,-4.8600086
Q8TF61,FBXO41,FBX41_HUMAN,cytosol [GO:0005829]; ubiquitin-protein transferase activity [GO:0004842]; post-translational protein modification [GO:0043687]; protein polyubiquitination [GO:0000209],NA,F-box only protein 41,GO:0000209; GO:0004842; GO:0005829; GO:0043687,1.00E-07,1.00E-07,1.00E-07,0.054567818,0.051478535,0.056181601,0.054567818,-4.195805832,0.054075885,0.027038042,40.69170062,9.51E-07,0.000369912,5.000089913,94496,3.431901944,4,3,0,1.00E-07,0.054567818,545678.1808,19.05769083,-4.195805832,-4.279885199,-4.153758459
Q96PB7,OLFM3,NOE3_HUMAN,AMPA glutamate receptor complex [GO:0032281]; cell junction [GO:0030054]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; synapse [GO:0045202]; eye photoreceptor cell development [GO:0042462],"SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Cell junction, synapse {ECO:0000250}.",Noelin-3 (Olfactomedin-3) (Optimedin),GO:0005615; GO:0005794; GO:0030054; GO:0032281; GO:0042462; GO:0045202,0.069014762,0.073973612,0.075508423,0.284672266,0.293506048,0.275646025,0.284672266,-1.812626148,0.211775847,0.178720189,39.89456036,1.04E-06,0.000372938,4.895292915,54930,3.428363385,4,0,0,0.073973612,0.284672266,3.84829478,1.944219314,-1.812626148,-1.768537861,-1.859111297
Q7Z4V5,HDGFL2,HDGR2_HUMAN,nucleus [GO:0005634]; chromatin binding [GO:0003682]; positive regulation of cell growth [GO:0030307],SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q3UMU9}.,Hepatoma-derived growth factor-related protein 2 (HDGF-related protein 2) (HRP-2) (Hepatoma-derived growth factor 2) (HDGF-2),GO:0003682; GO:0005634; GO:0030307,8.53E-05,0.000211011,1.51E-05,0.003462643,0.003520629,0.00339266,0.003462643,-8.173910726,0.003354828,0.00178123,39.59666302,1.07E-06,0.000372938,4.85559244,74317,3.428363385,7,0,0,8.53E-05,0.003462643,40.59185879,5.343118501,-8.173910726,-8.149951111,-8.203367587
Q5T7P8,SYT6,SYT6_HUMAN,cell junction [GO:0030054]; cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; integral component of membrane [GO:0016021]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]; synaptic vesicle membrane [GO:0030672]; calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; clathrin binding [GO:0030276]; phosphatidylserine binding [GO:0001786]; protein homodimerization activity [GO:0042803]; syntaxin binding [GO:0019905]; acrosomal vesicle exocytosis [GO:0060478]; calcium ion-regulated exocytosis of neurotransmitter [GO:0048791]; regulation of calcium ion-dependent exocytosis [GO:0017158]; vesicle fusion [GO:0006906],"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250|UniProtKB:Q9R0N8}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9R0N8}.; SUBCELLULAR LOCATION: Isoform 1: Membrane {ECO:0000250|UniProtKB:Q9R0N8}; Single-pass membrane protein {ECO:0000250}. Note=Localized predominantly to endoplasmic reticulum (ER) and/or Golgi-like perinuclear compartment (By similarity). {ECO:0000250|UniProtKB:Q9R0N8}.; SUBCELLULAR LOCATION: Isoform 2: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9R0N8}. Cell membrane {ECO:0000250|UniProtKB:Q9R0N8}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9R0N8}.",Synaptotagmin-6 (Synaptotagmin VI) (SytVI),GO:0001786; GO:0005509; GO:0005829; GO:0005886; GO:0006906; GO:0016021; GO:0017158; GO:0019898; GO:0019905; GO:0030054; GO:0030276; GO:0030672; GO:0042803; GO:0048306; GO:0048791; GO:0060478; GO:0097038,0.004483829,1.00E-07,1.00E-07,0.175115736,0.159749996,0.166534391,0.166534391,-2.586107957,0.165638698,0.084314025,36.69324541,1.48E-06,0.000488741,4.452278848,57325,3.310921348,7,2,0,1.00E-07,0.166534391,1665343.909,20.66738871,-2.513619366,-2.646112202,-2.586107957
Q9UIF9,BAZ2A,BAZ2A_HUMAN,"chromatin silencing complex [GO:0005677]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; rDNA heterochromatin [GO:0033553]; histone binding [GO:0042393]; ligand-dependent nuclear receptor binding [GO:0016922]; lysine-acetylated histone binding [GO:0070577]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA polymerase I CORE element sequence-specific DNA binding [GO:0001164]; chromatin remodeling [GO:0006338]; chromatin silencing at rDNA [GO:0000183]; DNA methylation [GO:0006306]; histone deacetylation [GO:0016575]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}. Note=Colocalizes with the basal RNA polymerase I transcription factor UBF in the nucleolus. {ECO:0000250}.",Bromodomain adjacent to zinc finger domain protein 2A (Transcription termination factor I-interacting protein 5) (TTF-I-interacting protein 5) (Tip5) (hWALp3),GO:0000183; GO:0001164; GO:0003723; GO:0005677; GO:0005730; GO:0005829; GO:0006306; GO:0006338; GO:0006351; GO:0006355; GO:0016575; GO:0016607; GO:0016922; GO:0033553; GO:0042393; GO:0046872; GO:0070577,5.67E-06,1.00E-07,1.00E-07,0.032504094,0.033638346,0.030367298,0.032504094,-4.943234765,0.032167956,0.016085935,34.79818453,1.87E-06,0.000591382,4.171506892,211198,3.228132199,10,2,0,1.00E-07,0.032504094,325040.9361,18.3102619,-4.943234765,-4.893749405,-5.041337655
