"","X.2","X.1","...1","X","PG.ProteinGroups","PG.Genes","short.name","GO","sub.cell","description","GO.ID","ConditionNorm_P_0_1","ConditionNorm_P_0_2","ConditionNorm_P_0_3","ConditionNorm_P_300_1","ConditionNorm_P_300_2","ConditionNorm_P_300_3","logFC","AveExpr","t","P.Value","adj.P.Val","B","mass","neglog.adj.P.Val.","TotalPeptidesOverallInGene","P0_Undetected","P300_Undetected","medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3","medians_.ConditionNorm_P_300_1_ConditionNorm_P_300_2_ConditionNorm_P_300_3","Ratio","Ratio_log2"
"11",11,16,16,16,"Q9UHR5","SAP30BP","S30BP_HUMAN","intermediate filament cytoskeleton [GO:0045111]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; apoptotic process [GO:0006915]; positive regulation of cell death [GO:0010942]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15496587}.","SAP30-binding protein (Transcriptional regulator protein HCNGP)","GO:0005634; GO:0005654; GO:0006351; GO:0006355; GO:0006915; GO:0010942; GO:0045111",1e-07,1e-07,1e-07,0.0709791814458644,0.0680438821535695,0.0734941916988907,0.0708389850994415,0.0354195925497208,46.7085689467591,5.24663653708891e-07,0.00027903779496017,5.73065810218996,33870,3.55433696865841,4,3,0,1e-07,0.0709791814458644,709791.814458644,19.4370364113209
"12",12,17,17,17,"Q5VTL8","PRPF38B","PR38B_HUMAN","precatalytic spliceosome [GO:0071011]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]","SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.","Pre-mRNA-splicing factor 38B (Sarcoma antigen NY-SAR-27)","GO:0003723; GO:0006397; GO:0008380; GO:0071011",1e-07,1e-07,1e-07,0.0567690999282511,0.0612048443552188,0.0580185307169611,0.058664058333477,0.0293321291667385,46.1197037059096,5.54163845131186e-07,0.00027903779496017,5.66344106006223,64468,3.55433696865841,4,3,0,1e-07,0.0580185307169611,580185.307169611,19.1461542350849
"13",13,18,18,18,"Q96RN5","MED15","MED15_HUMAN","cytoplasm [GO:0005737]; mediator complex [GO:0016592]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription cofactor activity [GO:0001104]; transcription initiation from RNA polymerase II promoter [GO:0006367]","SUBCELLULAR LOCATION: Cytoplasm. Nucleus.","Mediator of RNA polymerase II transcription subunit 15 (Activator-recruited cofactor 105 kDa component) (ARC105) (CTG repeat protein 7a) (Mediator complex subunit 15) (Positive cofactor 2 glutamine/Q-rich-associated protein) (PC2 glutamine/Q-rich-associated protein) (TPA-inducible gene 1 protein) (TIG-1) (Trinucleotide repeat-containing gene 7 protein)","GO:0001104; GO:0005634; GO:0005654; GO:0005737; GO:0006367; GO:0016020; GO:0016592",3.868807565476e-06,6.87299671983045e-05,8.55085442231188e-06,0.0754299926042932,0.0726577796557305,0.0695549267282008,0.0725205164530128,0.0362873081029018,44.3812059808545,6.54005550629546e-07,0.00031101597296605,5.45987354872405,86753,3.50721730617291,5,0,0,8.55085442231188e-06,0.0726577796557305,8497.13678508471,13.052761073932
"14",14,20,20,20,"P42892","ECE1","ECE1_HUMAN","early endosome [GO:0005769]; endosome [GO:0005768]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intrinsic component of endosome membrane [GO:0031302]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; vesicle [GO:0031982]; Weibel-Palade body [GO:0033093]; endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; peptide hormone binding [GO:0017046]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]; bradykinin catabolic process [GO:0010815]; calcitonin catabolic process [GO:0010816]; ear development [GO:0043583]; embryonic digit morphogenesis [GO:0042733]; endothelin maturation [GO:0034959]; heart development [GO:0007507]; hormone catabolic process [GO:0042447]; peptide hormone processing [GO:0016486]; pharyngeal system development [GO:0060037]; positive regulation of receptor recycling [GO:0001921]; protein processing [GO:0016485]; regulation of systemic arterial blood pressure by endothelin [GO:0003100]; regulation of vasoconstriction [GO:0019229]; substance P catabolic process [GO:0010814]","SUBCELLULAR LOCATION: Cell membrane; Single-pass type II membrane protein.","Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71)","GO:0001921; GO:0003100; GO:0004175; GO:0004222; GO:0005765; GO:0005768; GO:0005769; GO:0005886; GO:0007507; GO:0008270; GO:0009897; GO:0010814; GO:0010815; GO:0010816; GO:0016020; GO:0016021; GO:0016485; GO:0016486; GO:0017046; GO:0019229; GO:0031302; GO:0031982; GO:0033093; GO:0034959; GO:0042447; GO:0042733; GO:0042803; GO:0043583; GO:0048471; GO:0060037; GO:0070062",1e-07,1e-07,5.32810966519796e-06,0.19427431462192,0.195654472143455,0.209572158088013,0.199831805581241,0.0999177454938422,42.499205945463,7.88313762865671e-07,0.0003373982905065,5.23031987950604,87164,3.47185712217805,3,2,0,1e-07,0.195654472143455,1956544.72143455,20.8998766561305
"15",15,21,21,21,"Q658Y4","FAM91A1","F91A1_HUMAN","trans-Golgi network [GO:0005802]","SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:29084197}. Note=Recruitment to the TGN requires the presence of GOLGA1, GOLGA4 and TBC1D23. {ECO:0000269|PubMed:29084197}.","Protein FAM91A1","GO:0005802",1.86004701927316e-05,1e-07,1e-07,0.0375684653360843,0.0360441352521131,0.034434329607906,0.0360093765753036,0.0180109551110493,41.272438207043,8.94385415493162e-07,0.00036456853126768,5.07515550434744,93909,3.43822082138213,9,2,0,1e-07,0.0360441352521131,360441.352521131,18.4594050118224
"16",16,22,22,22,"Q8TF61","FBXO41","FBX41_HUMAN","cytosol [GO:0005829]; ubiquitin-protein transferase activity [GO:0004842]; post-translational protein modification [GO:0043687]; protein polyubiquitination [GO:0000209]",NA,"F-box only protein 41","GO:0000209; GO:0004842; GO:0005829; GO:0043687",1e-07,1e-07,1e-07,0.0545678180777633,0.0514785347756123,0.0561816007374647,0.0540758845302801,0.0270380422651401,40.6917006178237,9.50707614041286e-07,0.00036991168982697,5.0000899127752,94496,3.43190194403705,4,3,0,1e-07,0.0545678180777633,545678.180777633,19.0576908323984
"17",17,23,23,23,"Q96PB7","OLFM3","NOE3_HUMAN","AMPA glutamate receptor complex [GO:0032281]; cell junction [GO:0030054]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; synapse [GO:0045202]; eye photoreceptor cell development [GO:0042462]","SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Cell junction, synapse {ECO:0000250}.","Noelin-3 (Olfactomedin-3) (Optimedin)","GO:0005615; GO:0005794; GO:0030054; GO:0032281; GO:0042462; GO:0045202",0.0690147618512916,0.0739736122877707,0.0755084231085009,0.284672266052218,0.293506048351762,0.275646025087262,0.21177584741456,0.178720189456468,39.8945603625081,1.03531528839092e-06,0.00037293798032976,4.89529291498837,54930,3.42836338545688,4,0,0,0.0739736122877707,0.284672266052218,3.84829478037103,1.94421931415234
"18",18,24,24,24,"Q7Z4V5","HDGFL2","HDGR2_HUMAN","nucleus [GO:0005634]; chromatin binding [GO:0003682]; positive regulation of cell growth [GO:0030307]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q3UMU9}.","Hepatoma-derived growth factor-related protein 2 (HDGF-related protein 2) (HRP-2) (Hepatoma-derived growth factor 2) (HDGF-2)","GO:0003682; GO:0005634; GO:0030307",8.5303873182069e-05,0.000211011237014,1.51332288824551e-05,0.00346264277478896,0.00352062892108808,0.00339265962890248,0.00335482766190033,0.00178122994397634,39.5966630200316,1.06929798346942e-06,0.00037293798032976,4.8555924397533,74317,3.42836338545688,7,0,0,8.5303873182069e-05,0.00346264277478896,40.5918587940133,5.34311850073977
"19",19,26,26,26,"Q5T7P8","SYT6","SYT6_HUMAN","cell junction [GO:0030054]; cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; integral component of membrane [GO:0016021]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]; synaptic vesicle membrane [GO:0030672]; calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; clathrin binding [GO:0030276]; phosphatidylserine binding [GO:0001786]; protein homodimerization activity [GO:0042803]; syntaxin binding [GO:0019905]; acrosomal vesicle exocytosis [GO:0060478]; calcium ion-regulated exocytosis of neurotransmitter [GO:0048791]; regulation of calcium ion-dependent exocytosis [GO:0017158]; vesicle fusion [GO:0006906]","SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250|UniProtKB:Q9R0N8}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9R0N8}.; SUBCELLULAR LOCATION: Isoform 1: Membrane {ECO:0000250|UniProtKB:Q9R0N8}; Single-pass membrane protein {ECO:0000250}. Note=Localized predominantly to endoplasmic reticulum (ER) and/or Golgi-like perinuclear compartment (By similarity). {ECO:0000250|UniProtKB:Q9R0N8}.; SUBCELLULAR LOCATION: Isoform 2: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9R0N8}. Cell membrane {ECO:0000250|UniProtKB:Q9R0N8}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9R0N8}.","Synaptotagmin-6 (Synaptotagmin VI) (SytVI)","GO:0001786; GO:0005509; GO:0005829; GO:0005886; GO:0006906; GO:0016021; GO:0017158; GO:0019898; GO:0019905; GO:0030054; GO:0030276; GO:0030672; GO:0042803; GO:0048306; GO:0048791; GO:0060478; GO:0097038",0.00448382918217836,1e-07,1e-07,0.175115735731913,0.159749995775632,0.166534390892806,0.165638697739391,0.084314025263755,36.6932454099204,1.48449327926661e-06,0.00048874086425085,4.45227884819116,57325,3.31092134753474,7,2,0,1e-07,0.166534390892806,1665343.90892806,20.667388707264
"20",20,27,27,27,"Q9UIF9","BAZ2A","BAZ2A_HUMAN","chromatin silencing complex [GO:0005677]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; rDNA heterochromatin [GO:0033553]; histone binding [GO:0042393]; ligand-dependent nuclear receptor binding [GO:0016922]; lysine-acetylated histone binding [GO:0070577]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA polymerase I CORE element sequence-specific DNA binding [GO:0001164]; chromatin remodeling [GO:0006338]; chromatin silencing at rDNA [GO:0000183]; DNA methylation [GO:0006306]; histone deacetylation [GO:0016575]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}. Note=Colocalizes with the basal RNA polymerase I transcription factor UBF in the nucleolus. {ECO:0000250}.","Bromodomain adjacent to zinc finger domain protein 2A (Transcription termination factor I-interacting protein 5) (TTF-I-interacting protein 5) (Tip5) (hWALp3)","GO:0000183; GO:0001164; GO:0003723; GO:0005677; GO:0005730; GO:0005829; GO:0006306; GO:0006338; GO:0006351; GO:0006355; GO:0016575; GO:0016607; GO:0016922; GO:0033553; GO:0042393; GO:0046872; GO:0070577",5.66969243250427e-06,1e-07,1e-07,0.0325040936136727,0.0336383463396546,0.0303672977315483,0.032167955997481,0.0160859345628847,34.7981845268084,1.86533912722291e-06,0.000591381589964,4.17150689180659,211198,3.2281321994269,10,2,0,1e-07,0.0325040936136727,325040.936136727,18.3102618991697
