"","X.2","X.1","...1","X","PG.ProteinGroups","PG.Genes","short.name","GO","sub.cell","description","GO.ID","ConditionNorm_P_0_1","ConditionNorm_P_0_2","ConditionNorm_P_0_3","ConditionNorm_P_300_2_1","ConditionNorm_P_300_2_2","ConditionNorm_P_300_2_3","logFC","AveExpr","t","P.Value","adj.P.Val","B","mass","neglog.adj.P.Val.","TotalPeptidesOverallInGene","P0_Undetected","P300_24h_Undetected","medians_.ConditionNorm_P_0_1_ConditionNorm_P_0_2_ConditionNorm_P_0_3","medians_.ConditionNorm_P_300_2_1_ConditionNorm_P_300_2_2_ConditionNorm_P_300_2_3","Ratio","Ratio_log2"
"52",53,77,77,77,"O14735","CDIPT","CDIPT_HUMAN","endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; alcohol binding [GO:0043178]; carbohydrate binding [GO:0030246]; CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity [GO:0003881]; diacylglycerol binding [GO:0019992]; manganese ion binding [GO:0030145]; CDP-diacylglycerol metabolic process [GO:0046341]; phosphatidylinositol biosynthetic process [GO:0006661]","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Membrane {ECO:0000269|PubMed:8110188}.","CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)","GO:0000139; GO:0003881; GO:0005789; GO:0005794; GO:0005886; GO:0006661; GO:0016020; GO:0016021; GO:0019992; GO:0030145; GO:0030246; GO:0043178; GO:0046341",8.96178508335309e-05,0.00134931439068898,0.00024097179690936,0.0217554754037434,0.0173254811956084,0.0201351989970545,0.0191787505193248,0.010149343272473,14.7021190538405,7.56650845542706e-05,0.00841159901018905,-0.604330627554956,23539,2.07512143876901,6,0,0,0.00024097179690936,0.0201351989970545,83.5583219916322,6.38471161555162
"53",54,78,78,78,"P49918","CDKN1C","CDN1C_HUMAN","cytoplasm [GO:0005737]; nucleus [GO:0005634]; cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]; protein kinase inhibitor activity [GO:0004860]; protein-containing complex binding [GO:0044877]; cell cycle arrest [GO:0007050]; negative regulation of cyclin-dependent protein kinase activity [GO:1904030]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of kinase activity [GO:0033673]; negative regulation of phosphorylation [GO:0042326]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; regulation of mitotic cell cycle [GO:0007346]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.","Cyclin-dependent kinase inhibitor 1C (Cyclin-dependent kinase inhibitor p57) (p57Kip2)","GO:0004860; GO:0004861; GO:0005634; GO:0005737; GO:0007050; GO:0007346; GO:0030511; GO:0033673; GO:0042326; GO:0044877; GO:0045892; GO:0045893; GO:0050680; GO:1904030",3.84127699176152e-05,0.00372039718029218,6.04525091108705e-05,0.157919694102679,0.185868190455235,0.202182324966481,0.180716982355025,0.0916315786639525,14.4531295448507,8.13474835100589e-05,0.00878928809025613,-0.693242556853907,32177,2.05604630023844,3,0,0,6.04525091108705e-05,0.185868190455235,3074.61498602731,11.5861900471381
"54",55,79,79,79,"O60422","ONECUT3","ONEC3_HUMAN","nucleus [GO:0005634]; transcription factor complex [GO:0005667]; DNA binding [GO:0003677]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0001077]; cell differentiation [GO:0030154]; system development [GO:0048731]","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000255|PROSITE-ProRule:PRU00374}.","One cut domain family member 3 (One cut homeobox 3) (Transcription factor ONECUT-3) (OC-3)","GO:0000977; GO:0000981; GO:0001077; GO:0003677; GO:0005634; GO:0005667; GO:0030154; GO:0048731",0.0851073570504495,0.126629244868213,0.136344708142891,0.530627649392108,0.478869306549605,0.457466923144876,0.372960856341679,0.302507531524691,14.4457483510167,8.15237921965563e-05,0.00878928809025613,-0.695900703164664,50037,2.05604630023844,4,0,0,0.126629244868213,0.478869306549605,3.7816643939398,1.91902133613738
"55",56,81,81,81,"Q9NR28","DIABLO","DBLOH_HUMAN","CD40 receptor complex [GO:0035631]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c [GO:0008635]; apoptotic process [GO:0006915]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; intrinsic apoptotic signaling pathway [GO:0097193]; positive regulation of apoptotic process [GO:0043065]","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14523016}. Note=Released into the cytosol when cells undergo apoptosis.","Diablo homolog, mitochondrial (Direct IAP-binding protein with low pI) (Second mitochondria-derived activator of caspase) (Smac)","GO:0005739; GO:0005758; GO:0005829; GO:0006915; GO:0006919; GO:0008625; GO:0008635; GO:0009898; GO:0035631; GO:0043065; GO:0097193",7.38817101231269e-05,8.08872917274359e-05,0.00040538406310884,0.0172246655484897,0.0201720135016976,0.0158853870759484,0.0175739710203921,0.00897370319851584,14.3487296982189,8.38854000194668e-05,0.00886492622427945,-0.730961137618026,27131,2.05232487433511,4,0,0,8.08872917274359e-05,0.0172246655484897,212.946498524531,7.73434719764923
"56",57,82,82,82,"Q8N5H7","SH2D3C","SH2D3_HUMAN","cytoplasm [GO:0005737]; membrane [GO:0016020]; guanyl-nucleotide exchange factor activity [GO:0005085]; SH3/SH2 adaptor activity [GO:0005070]; JNK cascade [GO:0007254]; small GTPase mediated signal transduction [GO:0007264]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Associated with the membrane when EGF-stimulated. Found at ruffling membranes (By similarity). {ECO:0000250}.","SH2 domain-containing protein 3C (Novel SH2-containing protein 3) (SH2 domain-containing Eph receptor-binding protein 1) (SHEP1)","GO:0005070; GO:0005085; GO:0005737; GO:0007254; GO:0007264; GO:0016020",0.00033030260141081,0.00021042894827093,0.00018833706498173,0.0999539200968129,0.0779864470000564,0.0955168509210917,0.0909093831344325,0.0456977144387707,14.0731922247409,9.10657637690885e-05,0.00950637729101704,-0.831788191759435,94411,2.02198495333232,10,0,0,0.00021042894827093,0.0955168509210917,453.914975605507,8.82627827636601
"57",58,83,83,83,"Q9HCH0","NCKAP5L","NCK5L_HUMAN","centrosome [GO:0005813]; cytoplasm [GO:0005737]; microtubule plus-end [GO:0035371]; microtubule bundle formation [GO:0001578]; microtubule depolymerization [GO:0007019]","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:26482847, ECO:0000269|PubMed:26485573, ECO:0000269|PubMed:26549230}. Note=Localizes to microtubule plus ends (PubMed:26485573, PubMed:26482847). Associates with centrosomes during interphase, but dissociates from these structures from the onset of mitosis (PubMed:26549230). {ECO:0000269|PubMed:26482847, ECO:0000269|PubMed:26485573, ECO:0000269|PubMed:26549230}.","Nck-associated protein 5-like (NCKAP5-like) (Centrosomal protein of 169 kDa) (Cep169)","GO:0001578; GO:0005737; GO:0005813; GO:0007019; GO:0035371",0.00014764538714357,0.00383746703575343,5.98124714707126e-05,0.0965117597066748,0.0870200409227912,0.0751628533766287,0.0848832430372424,0.0437899298167438,13.9889458039248,9.3410457453342e-05,0.00963365681687479,-0.862994080057955,139013,2.01620882877021,4,0,0,0.00014764538714357,0.0870200409227912,589.385436323677,9.20306760177516
"58",59,84,84,84,"P06241","FYN","FYN_HUMAN","actin filament [GO:0005884]; cell body [GO:0044297]; cytosol [GO:0005829]; dendrite [GO:0030425]; endosome [GO:0005768]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; glial cell projection [GO:0097386]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; alpha-tubulin binding [GO:0043014]; ATP binding [GO:0005524]; CD4 receptor binding [GO:0042609]; CD8 receptor binding [GO:0042610]; disordered domain specific binding [GO:0097718]; ephrin receptor binding [GO:0046875]; growth factor receptor binding [GO:0070851]; identical protein binding [GO:0042802]; ion channel binding [GO:0044325]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; peptide hormone receptor binding [GO:0051428]; phosphatidylinositol 3-kinase binding [GO:0043548]; phosphatidylinositol-4,5-bisphosphate 3-kinase activity [GO:0046934]; protein tyrosine kinase activity [GO:0004713]; Ras guanyl-nucleotide exchange factor activity [GO:0005088]; T cell receptor binding [GO:0042608]; tau protein binding [GO:0048156]; type 5 metabotropic glutamate receptor binding [GO:0031802]; activated T cell proliferation [GO:0050798]; adaptive immune response [GO:0002250]; axon guidance [GO:0007411]; blood coagulation [GO:0007596]; calcium ion transport [GO:0006816]; cell differentiation [GO:0030154]; cell migration [GO:0016477]; cellular response to glycine [GO:1905430]; cellular response to L-glutamate [GO:1905232]; cellular response to peptide hormone stimulus [GO:0071375]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; cellular response to transforming growth factor beta stimulus [GO:0071560]; central nervous system development [GO:0007417]; cytokine-mediated signaling pathway [GO:0019221]; dendrite morphogenesis [GO:0048813]; dendritic spine maintenance [GO:0097062]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; ephrin receptor signaling pathway [GO:0048013]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; feeding behavior [GO:0007631]; forebrain development [GO:0030900]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; learning [GO:0007612]; leukocyte migration [GO:0050900]; MAPK cascade [GO:0000165]; negative regulation of dendritic spine maintenance [GO:1902951]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of gene expression [GO:0010629]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of protein ubiquitination [GO:0031397]; neuron migration [GO:0001764]; peptidyl-tyrosine autophosphorylation [GO:0038083]; peptidyl-tyrosine phosphorylation [GO:0018108]; platelet activation [GO:0030168]; positive regulation of cysteine-type endopeptidase activity [GO:2001056]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of neuron death [GO:1901216]; positive regulation of neuron projection development [GO:0010976]; positive regulation of non-membrane spanning protein tyrosine kinase activity [GO:1903997]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein localization to membrane [GO:1905477]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of protein targeting to membrane [GO:0090314]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; protein phosphorylation [GO:0006468]; regulation of apoptotic process [GO:0042981]; regulation of calcium ion import across plasma membrane [GO:1905664]; regulation of cell proliferation [GO:0042127]; regulation of cell shape [GO:0008360]; regulation of defense response to virus by virus [GO:0050690]; regulation of glutamate receptor signaling pathway [GO:1900449]; regulation of peptidyl-tyrosine phosphorylation [GO:0050730]; response to amyloid-beta [GO:1904645]; response to ethanol [GO:0045471]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell activation [GO:0042110]; T cell costimulation [GO:0031295]; T cell receptor signaling pathway [GO:0050852]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]","SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Cell membrane. Note=Present and active in lipid rafts. Palmitoylation is crucial for proper trafficking.","Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)","GO:0000165; GO:0001764; GO:0002223; GO:0002250; GO:0004713; GO:0004715; GO:0005088; GO:0005524; GO:0005634; GO:0005739; GO:0005768; GO:0005829; GO:0005884; GO:0005886; GO:0006468; GO:0006816; GO:0007169; GO:0007411; GO:0007417; GO:0007596; GO:0007612; GO:0007631; GO:0008360; GO:0010629; GO:0010976; GO:0014068; GO:0014069; GO:0016477; GO:0018108; GO:0019221; GO:0030154; GO:0030168; GO:0030425; GO:0030900; GO:0031234; GO:0031295; GO:0031397; GO:0031802; GO:0035556; GO:0036120; GO:0038083; GO:0038096; GO:0042110; GO:0042127; GO:0042177; GO:0042531; GO:0042608; GO:0042609; GO:0042610; GO:0042802; GO:0042981; GO:0043014; GO:0043123; GO:0043524; GO:0043548; GO:0044297; GO:0044325; GO:0045087; GO:0045121; GO:0045471; GO:0046872; GO:0046875; GO:0046934; GO:0048010; GO:0048013; GO:0048156; GO:0048813; GO:0050690; GO:0050730; GO:0050798; GO:0050852; GO:0050900; GO:0050966; GO:0051428; GO:0051897; GO:0070851; GO:0071375; GO:0071560; GO:0090314; GO:0097062; GO:0097386; GO:0097718; GO:1900182; GO:1900449; GO:1901216; GO:1902951; GO:1903997; GO:1904645; GO:1905232; GO:1905430; GO:1905477; GO:1905664; GO:2001056; GO:2001240",0.00562155266171465,8.80867562504496e-05,0.00017644618958321,0.0355672403440193,0.0306671154371637,0.0327657488500462,0.031038006341227,0.0174810317064629,13.912106167619,9.56139450160655e-05,0.00974351630163715,-0.891613654303159,60762,2.01128428390086,7,0,0,0.00017644618958321,0.0327657488500462,185.69825127674,7.53681641923086
"59",60,85,85,85,"Q96IG2","FBXL20","FXL20_HUMAN","cytosol [GO:0005829]; ubiquitin-protein transferase activity [GO:0004842]; behavioral fear response [GO:0001662]; post-translational protein modification [GO:0043687]; protein polyubiquitination [GO:0000209]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.","F-box/LRR-repeat protein 20 (F-box and leucine-rich repeat protein 20) (F-box/LRR-repeat protein 2-like)","GO:0000209; GO:0001662; GO:0004842; GO:0005829; GO:0043687",7.09139218819764e-05,5.39277516230444e-05,7.65169294522795e-05,0.0522810866675905,0.0667548953840441,0.0557498894132372,0.0581948376206382,0.0291645383446382,13.8476906668062,9.75104941516008e-05,0.00981988035220827,-0.915722516879832,48423,2.00789380372958,10,0,0,7.09139218819764e-05,0.0557498894132372,786.162828591302,9.61868434153626
"60",61,86,86,86,"P50542","PEX5","PEX5_HUMAN","cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; intracellular [GO:0005622]; membrane [GO:0016020]; peroxisomal matrix [GO:0005782]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; protein-containing complex [GO:0032991]; enzyme binding [GO:0019899]; peroxisome matrix targeting signal-1 binding [GO:0005052]; peroxisome targeting sequence binding [GO:0000268]; protein C-terminus binding [GO:0008022]; protein N-terminus binding [GO:0047485]; small GTPase binding [GO:0031267]; negative regulation of protein homotetramerization [GO:1901094]; protein import into peroxisome matrix [GO:0016558]; protein import into peroxisome matrix, docking [GO:0016560]; protein import into peroxisome matrix, translocation [GO:0016561]; protein import into peroxisome membrane [GO:0045046]; protein targeting to peroxisome [GO:0006625]; protein tetramerization [GO:0051262]; protein ubiquitination [GO:0016567]","SUBCELLULAR LOCATION: Cytoplasm. Peroxisome membrane; Peripheral membrane protein. Note=Its distribution appears to be dynamic. It is probably a cycling receptor found mainly in the cytoplasm and as well associated to the peroxisomal membrane through a docking factor (PEX13).","Peroxisomal targeting signal 1 receptor (PTS1 receptor) (PTS1R) (PTS1-BP) (Peroxin-5) (Peroxisomal C-terminal targeting signal import receptor) (Peroxisome receptor 1)","GO:0000268; GO:0005052; GO:0005622; GO:0005737; GO:0005777; GO:0005778; GO:0005782; GO:0005794; GO:0005829; GO:0006625; GO:0008022; GO:0016020; GO:0016558; GO:0016560; GO:0016561; GO:0016567; GO:0019899; GO:0031267; GO:0032991; GO:0045046; GO:0047485; GO:0051262; GO:1901094",0.00224713364208029,0.00013571884492697,0.00021560190382077,0.0451716075327319,0.0449614838598502,0.0359210362151895,0.0411518910723145,0.0214420969997666,13.6646100603912,0.00010315867894097,0.0102678871131952,-0.984834304513486,70865,1.98851891467784,19,0,0,0.00021560190382077,0.0449614838598502,208.539363813905,7.70417592173697
"61",62,87,87,87,"O95071","UBR5","UBR5_HUMAN","cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]; RNA binding [GO:0003723]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; ubiquitin-ubiquitin ligase activity [GO:0034450]; zinc ion binding [GO:0008270]; cell proliferation [GO:0008283]; cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; negative regulation of double-strand break repair [GO:2000780]; negative regulation of histone H2A K63-linked ubiquitination [GO:1901315]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of gene expression [GO:0010628]; positive regulation of protein import into nucleus, translocation [GO:0033160]; progesterone receptor signaling pathway [GO:0050847]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511]","SUBCELLULAR LOCATION: Nucleus.","E3 ubiquitin-protein ligase UBR5 (EC 2.3.2.26) (E3 ubiquitin-protein ligase, HECT domain-containing 1) (HECT-type E3 ubiquitin transferase UBR5) (Hyperplastic discs protein homolog) (hHYD) (Progestin-induced protein)","GO:0000209; GO:0003723; GO:0004842; GO:0005634; GO:0005654; GO:0005829; GO:0006281; GO:0006511; GO:0006974; GO:0008270; GO:0008283; GO:0010628; GO:0016020; GO:0032991; GO:0033160; GO:0034450; GO:0043130; GO:0048471; GO:0050847; GO:0061630; GO:0070936; GO:0090263; GO:1901315; GO:2000780",6.52810960475094e-05,9.80347016418348e-05,0.0072888899992658,0.0610608506396599,0.0560116611336936,0.0693789702544553,0.0596664254102846,0.0323172813041273,13.530691823092,0.00010754591957396,0.010398862916066,-1.03594999217749,309352,1.98301414688164,23,0,0,9.80347016418348e-05,0.0610608506396599,622.84935453512,9.28273945776571
"62",63,89,89,89,"P49840","GSK3A","GSK3A_HUMAN","apical dendrite [GO:0097440]; beta-catenin destruction complex [GO:0030877]; cytosol [GO:0005829]; microtubule [GO:0005874]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; postsynapse [GO:0098794]; proximal dendrite [GO:1990635]; ATP binding [GO:0005524]; protein kinase A catalytic subunit binding [GO:0034236]; protein serine/threonine kinase activity [GO:0004674]; signaling receptor binding [GO:0005102]; tau-protein kinase activity [GO:0050321]; aging [GO:0007568]; cardiac left ventricle morphogenesis [GO:0003214]; cell migration [GO:0016477]; cellular response to insulin stimulus [GO:0032869]; cellular response to interleukin-3 [GO:0036016]; cellular response to lithium ion [GO:0071285]; cellular response to organic cyclic compound [GO:0071407]; dopamine receptor signaling pathway [GO:0007212]; excitatory postsynaptic potential [GO:0060079]; extrinsic apoptotic signaling pathway [GO:0097191]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; glycogen metabolic process [GO:0005977]; hypermethylation of CpG island [GO:0044027]; insulin receptor signaling pathway [GO:0008286]; IRE1-mediated unfolded protein response [GO:0036498]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]; negative regulation of dendrite development [GO:2000171]; negative regulation of glucose import [GO:0046325]; negative regulation of glycogen (starch) synthase activity [GO:2000466]; negative regulation of glycogen biosynthetic process [GO:0045719]; negative regulation of glycogen synthase activity, transferring glucose-1-phosphate [GO:1904227]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of TOR signaling [GO:0032007]; negative regulation of type B pancreatic cell development [GO:2000077]; negative regulation of UDP-glucose catabolic process [GO:0010905]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071879]; positive regulation of adenylate cyclase-activating G-protein coupled receptor signaling pathway [GO:0106071]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of gene expression [GO:0010628]; positive regulation of glycogen (starch) synthase activity [GO:2000467]; positive regulation of heart contraction [GO:0045823]; positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901030]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein targeting to mitochondrion [GO:1903955]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein phosphorylation [GO:0006468]; regulation of autophagy of mitochondrion [GO:1903146]; regulation of gene expression by genetic imprinting [GO:0006349]; regulation of systemic arterial blood pressure [GO:0003073]; Wnt signaling pathway [GO:0016055]",NA,"Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)","GO:0003073; GO:0003214; GO:0004674; GO:0005102; GO:0005524; GO:0005739; GO:0005829; GO:0005874; GO:0005977; GO:0006349; GO:0006468; GO:0007212; GO:0007568; GO:0008286; GO:0010628; GO:0010800; GO:0010905; GO:0016055; GO:0016477; GO:0018105; GO:0018107; GO:0030877; GO:0031398; GO:0032007; GO:0032436; GO:0032869; GO:0033138; GO:0034236; GO:0036016; GO:0036498; GO:0043025; GO:0043161; GO:0043525; GO:0044027; GO:0045719; GO:0045732; GO:0045823; GO:0045944; GO:0046325; GO:0046627; GO:0050321; GO:0060079; GO:0061052; GO:0071285; GO:0071407; GO:0071879; GO:0090090; GO:0097191; GO:0097192; GO:0097440; GO:0098794; GO:0106071; GO:1901030; GO:1902004; GO:1903146; GO:1903955; GO:1904227; GO:1990635; GO:2000077; GO:2000171; GO:2000466; GO:2000467",0.00574576937828337,4.06529481851945e-05,4.39011447126805e-05,0.043186826143253,0.037080779015813,0.0364973983998279,0.0369782266959042,0.0204325545050125,13.4131097719494,0.00011158814564328,0.010398862916066,-1.08122985630318,50981,1.98301414688164,6,0,0,4.39011447126805e-05,0.037080779015813,844.642645618817,9.72219727976213
"63",64,90,90,90,"Q13002","GRIK2","GRIK2_HUMAN","cell junction [GO:0030054]; dendrite cytoplasm [GO:0032839]; integral component of plasma membrane [GO:0005887]; kainate selective glutamate receptor complex [GO:0032983]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]; terminal bouton [GO:0043195]; extracellularly glutamate-gated ion channel activity [GO:0005234]; kainate selective glutamate receptor activity [GO:0015277]; ligand-gated ion channel activity [GO:0015276]; PDZ domain binding [GO:0030165]; protein homodimerization activity [GO:0042803]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase binding [GO:0031625]; behavioral fear response [GO:0001662]; cellular calcium ion homeostasis [GO:0006874]; chemical synaptic transmission [GO:0007268]; glutamate receptor signaling pathway [GO:0007215]; inhibitory postsynaptic potential [GO:0060080]; intracellular protein transport [GO:0006886]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of synaptic transmission, glutamatergic [GO:0051967]; neuron apoptotic process [GO:0051402]; neuronal action potential [GO:0019228]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of synaptic transmission [GO:0050806]; receptor clustering [GO:0043113]; regulation of JNK cascade [GO:0046328]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of short-term neuronal synaptic plasticity [GO:0048172]; synaptic transmission, glutamatergic [GO:0035249]","SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein.","Glutamate receptor ionotropic, kainate 2 (GluK2) (Excitatory amino acid receptor 4) (EAA4) (Glutamate receptor 6) (GluR-6) (GluR6)","GO:0001662; GO:0005234; GO:0005886; GO:0005887; GO:0006874; GO:0006886; GO:0007215; GO:0007268; GO:0014069; GO:0015276; GO:0015277; GO:0019228; GO:0030054; GO:0030165; GO:0031624; GO:0031625; GO:0032839; GO:0032983; GO:0035249; GO:0042734; GO:0042803; GO:0043113; GO:0043195; GO:0043204; GO:0043524; GO:0043525; GO:0045211; GO:0046328; GO:0048169; GO:0048172; GO:0050804; GO:0050806; GO:0051402; GO:0051967; GO:0060080",8.128934680792e-05,0.00022751836712052,0.00023787627011116,0.329632670847169,0.272085230787317,0.256894206588254,0.286021808079567,0.143193132034463,13.4049330104401,0.00011187612268265,0.010398862916066,-1.0843927199042,102583,1.98301414688164,3,0,0,0.00022751836712052,0.272085230787317,1195.88248733866,10.2238599156169
"64",65,93,93,93,"Q719H9","KCTD1","KCTD1_HUMAN","nucleoplasm [GO:0005654]; nucleus [GO:0005634]; identical protein binding [GO:0042802]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; protein homooligomerization [GO:0051260]; transcription, DNA-templated [GO:0006351]","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18358072}.","BTB/POZ domain-containing protein KCTD1 (Potassium channel tetramerization domain-containing protein 1)","GO:0000122; GO:0003714; GO:0005634; GO:0005654; GO:0006351; GO:0008134; GO:0042802; GO:0045892; GO:0051260",0.0550905731255052,0.0814253700099528,0.0507403315054204,0.240223840242702,0.261980783812282,0.226846912171026,0.180598420528377,0.152717968477815,13.3689367484157,0.00011315477216429,0.010398862916066,-1.09833838557561,29405,1.98301414688164,3,0,0,0.0550905731255052,0.240223840242702,4.36052534242897,2.12450195685082
"65",66,95,95,95,"Q9ULD9","ZNF608","ZN608_HUMAN","metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; negative regulation of transcription by RNA polymerase II [GO:0000122]; transcription, DNA-templated [GO:0006351]",NA,"Zinc finger protein 608 (Renal carcinoma antigen NY-REN-36)","GO:0000122; GO:0003676; GO:0006351; GO:0046872",0.00011171154118384,0.00536658222503571,0.00018646565345878,0.15078201601581,0.183822619413891,0.196163023947668,0.175034299985897,0.0894054031328411,13.3051672227095,0.00011546431018239,0.010398862916066,-1.12313204934843,162208,1.98301414688164,17,0,0,0.00018646565345878,0.183822619413891,985.825625278098,9.94518867228635
