PG.ProteinGroups,PG.Genes,short.name,GO,sub.cell,description,GO.ID,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_T_1,ConditionNorm_N41_T_2,ConditionNorm_N41_T_3,ConditionNorm_N41_T_4,ConditionNorm_N41_T_5,MedianConditionNormN41N,MedianConditionNormN41T,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,N41N_Undetected,N41T_Undetected,LysoAssociated,LiveAssociated,NES
P49918,CDKN1C,CDN1C_HUMAN,"cytoplasm [GO:0005737]; nucleus [GO:0005634]; cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]; protein kinase inhibitor activity [GO:0004860]; protein-containing complex binding [GO:0044877]; cell cycle arrest [GO:0007050]; negative regulation of cyclin-dependent protein kinase activity [GO:1904030]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of kinase activity [GO:0033673]; negative regulation of phosphorylation [GO:0042326]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; regulation of mitotic cell cycle [GO:0007346]",SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.,Cyclin-dependent kinase inhibitor 1C (Cyclin-dependent kinase inhibitor p57) (p57Kip2),GO:0004860; GO:0004861; GO:0005634; GO:0005737; GO:0007050; GO:0007346; GO:0030511; GO:0033673; GO:0042326; GO:0044877; GO:0045892; GO:0045893; GO:0050680; GO:1904030,4.514870242,0.708001364,2.110409529,0.831381145,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.92334937,3.2163495,1.00E-07,-3.120435022,1.744887465,-13.72816174,4.45E-07,4.07E-06,6.331893535,"32,177",5.390165596,5,0,4,,,1
Q2VPB7,AP5B1,AP5B1_HUMAN,AP-type membrane coat adaptor complex [GO:0030119]; lysosomal membrane [GO:0005765]; endosomal transport [GO:0016197]; protein transport [GO:0015031],,AP-5 complex subunit beta-1 (Adaptor-related protein complex 5 beta subunit) (Beta5),GO:0005765; GO:0015031; GO:0016197; GO:0030119,0.062864402,0.136576863,0.126408017,0.155367589,1.00E-07,1.00E-07,1.00E-07,0.000135885,1.00E-07,0.219430482,1.00E-07,-0.241508782,0.120781648,-13.65712288,4.64E-07,4.21E-06,6.285330719,"93,949",5.375687576,9,0,4,,1,1
Q92974,ARHGEF2,ARHG2_HUMAN,bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dendritic shaft [GO:0043198]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; neuronal cell body [GO:0043025]; podosome [GO:0002102]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]; ruffle membrane [GO:0032587]; spindle [GO:0005819]; vesicle [GO:0031982]; guanyl-nucleotide exchange factor activity [GO:0005085]; microtubule binding [GO:0008017]; Rac GTPase binding [GO:0048365]; Rac guanyl-nucleotide exchange factor activity [GO:0030676]; Rho GTPase binding [GO:0017048]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; transcription factor binding [GO:0008134]; zinc ion binding [GO:0008270]; actin filament organization [GO:0007015]; asymmetric neuroblast division [GO:0055059]; cell morphogenesis [GO:0000902]; cellular hyperosmotic response [GO:0071474]; cellular response to muramyl dipeptide [GO:0071225]; cellular response to tumor necrosis factor [GO:0071356]; establishment of mitotic spindle orientation [GO:0000132]; G-protein coupled receptor signaling pathway [GO:0007186]; innate immune response [GO:0045087]; intracellular protein transport [GO:0006886]; intracellular signal transduction [GO:0035556]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress [GO:1902219]; negative regulation of microtubule depolymerization [GO:0007026]; negative regulation of necroptotic process [GO:0060546]; negative regulation of neurogenesis [GO:0050768]; negative regulation of podosome assembly [GO:0071802]; positive regulation of apoptotic process [GO:0043065]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of neuron migration [GO:2001224]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of cell proliferation [GO:0042127]; regulation of Rho protein signal transduction [GO:0035023]; regulation of small GTPase mediated signal transduction [GO:0051056],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11912491, ECO:0000269|PubMed:21887730, ECO:0000269|PubMed:9857026}. Cytoplasm {ECO:0000269|PubMed:15827085, ECO:0000269|PubMed:21887730}. Cell junction, tight junction {ECO:0000269|PubMed:19043560}. Golgi apparatus {ECO:0000269|PubMed:15827085}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:17488622}. Cell projection, ruffle membrane {ECO:0000269|PubMed:19043560}. Cytoplasmic vesicle {ECO:0000269|PubMed:21887730}. Note=Localizes to the tips of cortical microtubules of the mitotic spindle during cell division, and is further released upon microtubule depolymerization (PubMed:15827085). Recruited into membrane ruffles induced by S.flexneri at tight junctions of polarized epithelial cells (PubMed:19043560). Colocalized with NOD2 and RIPK2 in vesicles and with the cytoskeleton (PubMed:21887730). {ECO:0000269|PubMed:15827085, ECO:0000269|PubMed:19043560, ECO:0000269|PubMed:21887730}.",Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (Microtubule-regulated Rho-GEF) (Proliferating cell nucleolar antigen p40),GO:0000132; GO:0000902; GO:0002102; GO:0005085; GO:0005089; GO:0005737; GO:0005794; GO:0005819; GO:0005829; GO:0005856; GO:0005874; GO:0005923; GO:0005925; GO:0006886; GO:0007015; GO:0007026; GO:0007186; GO:0008017; GO:0008134; GO:0008270; GO:0014069; GO:0017048; GO:0030676; GO:0031410; GO:0031982; GO:0032587; GO:0032755; GO:0032760; GO:0032991; GO:0035023; GO:0035556; GO:0042127; GO:0043025; GO:0043065; GO:0043198; GO:0045087; GO:0045666; GO:0045944; GO:0048365; GO:0050731; GO:0050768; GO:0051056; GO:0051092; GO:0055059; GO:0060546; GO:0071225; GO:0071356; GO:0071474; GO:0071802; GO:1902042; GO:1902219; GO:2001224,0.258948965,0.232057016,0.284735223,0.297906541,0.200684443,0.215684224,0.203347897,0.16836286,0.164533094,0.338615072,0.200684443,-0.14562252,0.263333763,-13.27320543,5.86E-07,5.08E-06,6.029729427,"111,543",5.293944627,38,0,0,,,1
P43004,SLC1A2,EAA2_HUMAN,axolemma [GO:0030673]; cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; glutamate:sodium symporter activity [GO:0015501]; high-affinity glutamate transmembrane transporter activity [GO:0005314]; L-glutamate transmembrane transporter activity [GO:0005313]; metal ion binding [GO:0046872]; adult behavior [GO:0030534]; cellular response to extracellular stimulus [GO:0031668]; chemical synaptic transmission [GO:0007268]; D-aspartate import across plasma membrane [GO:0070779]; glutamate secretion [GO:0014047]; ion transport [GO:0006811]; L-glutamate import across plasma membrane [GO:0098712]; L-glutamate transmembrane transport [GO:0015813]; multicellular organism aging [GO:0010259]; multicellular organism growth [GO:0035264]; positive regulation of glucose import [GO:0046326]; protein homotrimerization [GO:0070207]; response to amino acid [GO:0043200]; response to wounding [GO:0009611]; telencephalon development [GO:0021537]; visual behavior [GO:0007632],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14506254, ECO:0000269|PubMed:15265858, ECO:0000269|PubMed:26690923, ECO:0000269|PubMed:7521911}; Multi-pass membrane protein {ECO:0000305}.",Excitatory amino acid transporter 2 (Glutamate/aspartate transporter II) (Sodium-dependent glutamate/aspartate transporter 2) (Solute carrier family 1 member 2),GO:0005313; GO:0005314; GO:0005886; GO:0005887; GO:0006811; GO:0007268; GO:0007632; GO:0009611; GO:0009986; GO:0010259; GO:0014047; GO:0015171; GO:0015501; GO:0015813; GO:0016020; GO:0021537; GO:0030534; GO:0030673; GO:0031668; GO:0035264; GO:0043200; GO:0046326; GO:0046872; GO:0070207; GO:0070779; GO:0098712,0.531009839,0.719337982,0.487518778,0.747795003,0.266408134,0.411143095,0.271962061,0.276234516,0.311484466,0.83124726,0.276234516,-0.525922531,0.57040772,-12.2481223,1.12E-06,8.51E-06,5.31234262,"62,104",5.069916743,6,0,0,,,1
Q8N158,GPC2,GPC2_HUMAN,anchored component of plasma membrane [GO:0046658]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; lysosomal lumen [GO:0043202]; plasma membrane [GO:0005886]; heparan sulfate proteoglycan binding [GO:0043395]; glycosaminoglycan biosynthetic process [GO:0006024]; glycosaminoglycan catabolic process [GO:0006027]; neuron differentiation [GO:0030182]; regulation of signal transduction [GO:0009966]; retinoid metabolic process [GO:0001523]; smoothened signaling pathway [GO:0007224],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}; Extracellular side {ECO:0000250}.; SUBCELLULAR LOCATION: Secreted glypican-2: Secreted, extracellular space {ECO:0000250}.",Glypican-2 [Cleaved into: Secreted glypican-2],GO:0001523; GO:0005615; GO:0005783; GO:0005796; GO:0005886; GO:0006024; GO:0006027; GO:0007224; GO:0009966; GO:0030182; GO:0043202; GO:0043395; GO:0046658,0.513643246,0.49682574,0.501579151,0.462298832,0.30118449,0.329448583,0.348875734,0.288592994,0.297036542,0.531976339,0.30118449,-0.210743408,0.418399372,-11.64662863,1.68E-06,1.19E-05,4.865553326,"62,830",4.924483113,20,0,0,,1,1
Q9BQ89,FAM110A,F110A_HUMAN,cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; spindle pole [GO:0000922],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17499476}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:17499476}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:17499476}. Note=Distributed throughout the cytoplasm during mitosis, accumulating at spindle poles.",Protein FAM110A,GO:0000922; GO:0005737; GO:0005815,2.133446801,2.395784575,2.004881561,2.333621564,1.376041438,1.691763447,1.525195518,1.844300909,1.343142093,3.417390355,1.525195518,-1.77143065,2.441804006,-10.73133766,3.23E-06,2.01E-05,4.144495197,"31,271",4.696969744,9,0,0,,1,1
Q9Y666,SLC12A7,S12A7_HUMAN,integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; potassium:chloride symporter activity [GO:0015379]; protein kinase binding [GO:0019901]; cell volume homeostasis [GO:0006884]; chemical synaptic transmission [GO:0007268]; ion transport [GO:0006811],SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.,Solute carrier family 12 member 7 (Electroneutral potassium-chloride cotransporter 4) (K-Cl cotransporter 4),GO:0005886; GO:0005887; GO:0006811; GO:0006884; GO:0007268; GO:0015379; GO:0019901,0.248664486,0.274144419,0.32116836,0.350461511,0.034419069,0.005661134,1.00E-07,0.006895556,0.001373173,0.398225732,0.005661134,-0.378719341,0.199029477,-10.45529544,3.97E-06,2.39E-05,3.916418445,"119,106",4.621051233,15,0,1,,1,1
Q7Z2K8,GPRIN1,GRIN1_HUMAN,growth cone [GO:0030426]; plasma membrane [GO:0005886]; neuron projection development [GO:0031175],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Cell projection, growth cone {ECO:0000250}. Note=Highly enriched in growth cone. {ECO:0000250}.",G protein-regulated inducer of neurite outgrowth 1 (GRIN1),GO:0005886; GO:0030426; GO:0031175,0.398756799,0.424033238,0.409157413,0.494453192,0.193123174,0.176911609,0.065473868,0.046159437,0.040455828,0.587923171,0.065473868,-0.504245213,0.35654739,-10.43798015,4.02E-06,2.42E-05,3.901938231,"102,399",4.616768298,12,0,0,,,1
Q6IQ32,ADNP2,ADNP2_HUMAN,"nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; cellular response to oxidative stress [GO:0034599]; cellular response to retinoic acid [GO:0071300]; negative regulation of cell death [GO:0060548]; neuron differentiation [GO:0030182]; positive regulation of cell growth [GO:0030307]; transcription, DNA-templated [GO:0006351]",SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,Activity-dependent neuroprotector homeobox protein 2 (ADNP homeobox protein 2) (Zinc finger protein 508),GO:0000981; GO:0003677; GO:0005634; GO:0006351; GO:0030182; GO:0030307; GO:0034599; GO:0046872; GO:0060548; GO:0071300,0.301435999,0.288618614,0.248878909,0.285657006,0.001309194,0.037058325,0.018756886,0.066592674,0.017089803,0.243125019,0.018756886,-0.209754191,0.133038472,-10.24168847,4.67E-06,2.74E-05,3.736317667,"122,833",4.563032148,9,0,0,,,1
Q9Y5E7,PCDHB2,PCDB2_HUMAN,integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; calcium ion binding [GO:0005509]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell adhesion [GO:0007155]; chemical synaptic transmission [GO:0007268]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; nervous system development [GO:0007399]; synapse assembly [GO:0007416],SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.,Protocadherin beta-2 (PCDH-beta-2),GO:0005509; GO:0005887; GO:0007155; GO:0007156; GO:0007268; GO:0007399; GO:0007416; GO:0016021; GO:0016339,1.991276427,2.041024538,0.981595387,2.050341158,0.319287906,0.4257372,0.453742712,0.729007468,0.556834565,2.170452909,0.453742712,-1.720239122,1.357041532,-10.00717625,5.61E-06,3.21E-05,3.534831885,"87,254",4.493543501,3,0,0,,,1
Q9Y4F1,FARP1,FARP1_HUMAN,cell junction [GO:0030054]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; filopodium [GO:0030175]; cytoskeletal protein binding [GO:0008092]; Rac guanyl-nucleotide exchange factor activity [GO:0030676]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; dendrite morphogenesis [GO:0048813]; negative regulation of phosphatase activity [GO:0010923]; regulation of Rho protein signal transduction [GO:0035023]; synapse assembly [GO:0007416],"SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction, synapse. Cell junction, synapse, synaptosome {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}. Cell projection, filopodium {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Cell projection, dendritic spine {ECO:0000250}. Note=Recruited to the cell membrane via interaction with CADM1. {ECO:0000250}.","FERM, ARHGEF and pleckstrin domain-containing protein 1 (Chondrocyte-derived ezrin-like protein) (FERM, RhoGEF and pleckstrin domain-containing protein 1) (Pleckstrin homology domain-containing family C member 2) (PH domain-containing family C member 2)",GO:0005089; GO:0005829; GO:0005856; GO:0007416; GO:0008092; GO:0010923; GO:0030054; GO:0030175; GO:0030425; GO:0030676; GO:0031234; GO:0035023; GO:0043197; GO:0048813,0.079349576,0.065666287,0.098409557,0.071482812,1.00E-07,0.001054883,1.00E-07,0.000114633,1.00E-07,0.060201294,1.00E-07,-0.067930394,0.03419916,-9.989987354,5.69E-06,3.25E-05,3.519905361,"118,633",4.488743995,33,0,3,,,1
